label,country,bounds_fid,area_km2,population,business_and_services_count,active_life_count,arts_and_entertainment_count,public_services_count,retail_count,health_and_medical_count,eat_and_drink_count,education_count,attractions_and_activities_count,religious_count,accommodation_count,business_and_services_per_1000_pop,business_and_services_per_km2,active_life_per_1000_pop,active_life_per_km2,arts_and_entertainment_per_1000_pop,arts_and_entertainment_per_km2,public_services_per_1000_pop,public_services_per_km2,retail_per_1000_pop,retail_per_km2,health_and_medical_per_1000_pop,health_and_medical_per_km2,eat_and_drink_per_1000_pop,eat_and_drink_per_km2,education_per_1000_pop,education_per_km2,attractions_and_activities_per_1000_pop,attractions_and_activities_per_km2,religious_per_1000_pop,religious_per_km2,accommodation_per_1000_pop,accommodation_per_km2
,,0,62.77261193348189,97244.39557125514,1511,229,104,237,629,301,409,160,188,47,50,15.538170514853222,24.071007298551763,2.354891494309324,3.6480878036852107,1.0694703729614397,1.656773500363589,2.437158446075588,3.7755319190977947,6.468239082622553,10.0202935743144,3.0952940602057053,4.795084842398465,4.205897909050277,6.5155804004683455,1.6453390353252917,2.5488823082516756,1.9332733665072177,2.994936712195719,0.4833183416268044,0.7487341780489297,0.5141684485391537,0.7965257213286486
,,1,73.95105978218902,93757.64844223799,1285,187,84,233,555,194,353,186,119,53,75,13.70554852164045,17.37635679305694,1.9945039482854197,2.528699393230854,0.8959269072512046,1.1358863584566403,2.485130587970603,3.1507323990523477,5.919517065766888,7.504963439802802,2.069164523889687,2.6233565897689077,3.765026169758038,4.773427196847548,1.9838381517705244,2.5151769365825607,1.2692297852725398,1.6091723411469072,0.5652872152894505,0.716690202359547,0.7999347386171469,1.0141842486220003
,,2,123.00325085482835,191773.87803341646,3146,408,195,432,1500,483,597,446,286,105,141,16.404736829964985,25.57655979119602,2.127505602868949,3.3169855037533296,1.0168225307829535,1.5853239539997532,2.252652991273005,3.5121022980917607,7.821711775253489,12.194799646151948,2.5185911916316233,3.926725486060927,3.1130412865508887,4.853530259168475,2.325655634508704,3.6259204281225124,1.4913397118149987,2.325141799199638,0.5475198242677443,0.8536359752306363,0.7352409068738279,1.146311166738283
,,3,57.267102130218824,84460.00853064712,1404,203,96,189,586,220,372,177,169,41,52,16.623251932191614,24.51669366484557,2.4035043748111806,3.5447926025382124,1.1366326107481446,1.676355122382603,2.2377454524104095,3.3003241471907496,6.938194894775133,10.232751059543805,2.6047830662978315,3.841647155460132,4.40445136664906,6.495876099232587,2.0956663760668914,3.0907797568929243,2.0009469918378797,2.951083496694374,0.4854368441736868,0.71594333351757,0.6156759974885784,0.9080256912905766
Tampere,FI,4,149.4367662997931,222334.30108231903,3571,489,222,517,1437,764,1172,338,563,94,126,16.06139935500929,23.896395033308107,2.1993907265750607,3.272287082410435,0.9984964034757946,1.4855781846525902,2.3253272098963325,3.459657303898149,6.463240233309535,9.616107438494469,3.4362669020518335,5.11253032916477,5.271341373304645,7.842782127985746,1.5202332629496331,2.261826245101691,2.532222861066993,3.767479810627965,0.42278676543569677,0.6290286007087543,0.5667141749457212,0.8431659966947133
Lahti,FI,5,50.40469662954135,74360.19429471238,1323,171,92,182,545,186,351,105,113,44,29,17.791777073047214,26.247554066709963,2.2996174448156266,3.392541001819655,1.2372210814212727,1.825226737821101,2.4475460523768655,3.6107746335156565,7.3291901018977565,10.812484479483697,2.5013382733082254,3.6901323177687475,4.720267386726812,6.9636367932087655,1.4120457994481916,2.083139211643648,1.519630241310911,2.2418545801498304,0.5917144302449565,0.8729345267840048,0.38999360175235775,0.5753432108349122
Turku,FI,6,116.77144863894817,194848.40423492476,3449,462,199,477,1477,535,1003,378,481,100,138,17.700940449281845,29.536329643936728,2.3710740758388553,3.9564465919103418,1.0213067989002862,1.704183705173502,2.4480570003790785,4.084902650089249,7.58025196972725,12.648639862016395,2.745724308601272,4.581599408381023,5.147591554256217,8.589428423562929,1.9399696984136092,3.2370926661084614,2.468585780256471,4.119157598936957,0.5132194969348173,0.8563737211927146,0.7082429057700478,1.1817957352459463
Helsinki,FI,7,464.8689096913518,1056200.8862588971,16618,2181,969,2587,6647,1933,5139,1529,2433,470,578,15.733749342761467,35.74771221210183,2.064948087409,4.691645224130106,0.9174391089863919,2.0844586071444624,2.44934465938885,5.565009717938827,6.293310379187355,14.298654656026049,1.8301442700419974,4.158161493921822,4.865551683262196,11.054729393307937,1.4476412772344616,3.289099288259941,2.303539063120631,5.233733530632071,0.4449911054939156,1.011037714507634,0.5472443807989005,1.2433612744370477
Narva linn,EE,8,25.8126686793188,53614.869617978635,274,35,29,62,199,26,79,71,64,14,34,5.1105225463071875,10.614942740094508,0.6528039748932538,1.3559233427128021,0.5408947220544102,1.1234793411048931,1.1563956126680495,2.4019213499483922,3.7116568858216428,7.7093927199956465,0.4849400956349885,1.0072573403009388,1.4734718290447728,3.0605126878374675,1.3242594919263146,2.750587352360256,1.193698696947664,2.4794026838176952,0.2611215899573015,0.5423693370851208,0.6341524327534465,1.3171826757781506
Sørås,NO,9,145.59918277393126,198644.73935764172,3559,384,226,464,1823,584,722,471,454,133,212,17.91640700634083,24.443818517346923,1.933099266770126,2.6373774404780046,1.1377094642970011,1.5522065144479922,2.335828280680569,3.186831073910922,9.177187404484219,12.52067467185261,2.9399218015462334,4.011011524060298,3.6346293505417475,4.958819041732082,2.3710670693977325,3.2349082668363023,2.2854871539417636,3.1181493697318077,0.6695369856261113,0.9134666655822256,1.0672318868626736,1.4560521285972317
