bounds_fid,city_label,country,green_corr,trees_corr,green_area_corr,trees_area_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist,cc_green_area_sum_800_nw,cc_trees_area_sum_800_nw
0,,,0.24450186102349625,0.04639385574897571,-0.23896926412735253,-0.03252980224430874,26732,2183.373078200916,87.93066,148.44409,6.3089375,0.14269139
1,,,0.36131088069575706,-0.02832833201409893,-0.21222551828940092,0.07012598816248922,21979,1976.1796215425338,91.57003,331.67026,3.5147324,0.029996883
2,,,0.448089508648782,-0.30346394782982994,-0.4676574387311716,0.5871104588494831,40263,2293.773716938644,107.483475,132.5405,14.892789,0.18977045
3,,,0.2839111712971587,-0.0970426995519657,-0.36321371486376836,0.18446106181094532,18996,2090.3527885970007,62.69337,139.80624,17.50039,0.09396607
4,Tampere,FI,0.2994980106935497,-0.1492155733558479,-0.13671129847112673,0.13974013015219347,51279,2328.9426254251603,89.87716,130.57773,29.55272,0.189324
5,Lahti,FI,0.3061039087989531,-0.14836347312803988,-0.38110267981643164,0.13500658387925685,14637,2048.2837615771205,69.47127,112.31161,14.481859,0.10641272
6,Turku,FI,0.31458505574700163,-0.2878206715195642,-0.281150531519922,0.5169651037471821,40847,2311.6466981543413,90.73907,130.95753,6.348472,0.16848344
7,Helsinki,FI,0.24232796085062056,-0.11055620678814582,-0.18912988778310658,0.22105745193912416,199848,3293.2856384362176,84.96703,193.96492,3.670041,0.07832095
8,Narva linn,EE,0.3747392005767588,-0.2015279340574851,-0.35054167793613733,0.28284865309345597,6351,4671.0004025509925,196.3011,75.32491,0.88708454,0.28846985
9,Sørås,NO,0.39378437600170224,-0.1879738055475751,0.017383083756493764,0.3240837458593293,38111,2462.7920496936704,119.99404,175.78578,18.9031,0.10486319
10,Tallinn,EE,0.26946511885793056,-0.15058656251287955,-0.35848011271500985,0.14119579299860915,53592,5004.197663435199,158.90152,97.06611,6.0935345,0.57191676
11,Hällen,SE,0.29713771637127145,-0.22515660837361381,-0.6453746753171479,0.41110736149577765,26947,3233.2864984573653,80.099556,117.669556,2.15471,0.15512837
12,Langhus,NO,0.48183175179235116,-0.2984853227176183,-0.46800184451248084,0.44653355126216554,143650,3293.4554086286053,168.56732,135.35922,19.102764,0.23078687
13,Västerås,SE,0.2946621406682153,-0.1770703539532183,-0.43190219003457336,0.21863218855507707,23304,2373.472725101879,125.20778,174.30113,12.650408,0.07310763
14,Rönninge By,SE,0.3849605170005572,-0.4004830372833231,-0.4197804317032643,0.517313980321952,13608,1828.4930597308985,69.66921,169.38734,28.74415,0.14801225
15,Sjöberg,SE,0.2815814329959399,-0.09158889238005004,-0.3023447240846666,0.20734314720602734,159109,4479.107241189882,93.07268,139.26945,41.3761,0.21851438
16,Geber,SE,0.3769958793112666,-0.17588299617857237,-0.45532636194095877,0.2638819364918939,20159,2355.0006432057253,103.585724,191.18869,3.710402,0.057863325
17,Torsjödal,SE,0.1623127705189742,-0.3179767673516984,-0.033780114050614055,0.5592493945153446,12548,2444.8318564140523,90.950264,134.15868,29.133547,0.093475215
18,Tartu linn,EE,0.23616768219364861,-0.18525525703124635,-0.385771913204055,0.30953163983253845,16211,3051.879924112994,117.16767,190.01054,0.85918754,0.08848635
19,Venan,SE,0.3108114544530934,0.004187290365748802,-0.5918859325179809,-0.20445346017135135,20784,2824.426052304239,100.82717,115.540665,14.0162325,0.15508276
20,Stokka,NO,0.21447527984379894,-0.15286284995784433,-0.034504340716612895,0.40961233858031787,42051,2356.397694697097,114.28211,91.67693,5.0388613,0.13708618
21,Lundsbacken,SE,0.40507908580029,-0.27972093852733687,-0.4665048579654355,0.5388193462815218,15943,2843.878311555452,111.85529,227.84254,8.108398,0.04304327
22,Linköping,SE,0.22899520198594603,-0.3461437138652474,-0.3634886658055147,0.6887943839179329,26144,2459.0909229349954,109.303894,163.86382,2.0996025,0.10018341
23,Huskvarna,SE,0.32336049189586386,-0.10080583519423306,0.24155847855800988,0.28821979073194454,15886,2105.142171549802,96.88221,128.04208,96.83253,0.21732031
24,Borås,SE,0.4728447195582192,-0.2421400095584073,-0.4424682196357305,0.33329874793364805,12137,2001.23268746858,87.285194,151.62967,5.051375,0.10859259
25,Latgales apkaime,LV,0.21636956481809252,-0.24019995007536202,-0.29958785354828543,0.20260482489121734,79485,4741.671022264031,168.01724,96.34992,2.8718607,0.5414477
26,Partille,SE,0.17834087521762776,-0.21884766074157966,-0.31064915556518713,0.5046362117384622,88392,3408.7132914992294,84.06339,143.93654,6.6834893,0.2893618
27,Søholt,DK,0.17406074167589466,-0.2226299119235231,-0.42089852558612106,0.5205456444169021,22975,1780.6008051597514,129.55968,124.172646,1.2132822,0.185798
28,Liepāja,LV,0.3100479069193673,-0.1477963804471637,0.11253257862125213,0.28224273342021033,7908,3105.5771548577713,172.5009,96.84592,13.5339155,0.20183147
