bounds_fid,city_label,country,n_nodes,mean_dist,median_dist,std_dist,p25_dist,p75_dist,pct_within_400m,pct_within_800m,pct_within_1600m,pct_below_city_mean,pct_above_2x_city_mean,equity_ratio
379,Küsnacht (ZH),CH,2559,327.7,292.6,202.3,172.0,436.9,69.8,97.1,100.0,56.7,8.2,2.5
83,Płock,PL,8682,376.1,264.1,331.2,155.9,466.7,69.4,88.5,100.0,66.9,12.8,3.0
90,Hoorn,NL,12621,387.9,316.8,291.4,185.2,492.5,64.3,90.6,100.0,62.5,10.0,2.7
466,A Coruña,ES,19616,394.7,273.8,347.9,123.7,580.6,61.8,86.0,100.0,61.3,14.4,4.7
114,Leiden,NL,39027,395.6,304.8,318.4,179.3,491.5,65.0,89.0,100.0,64.4,11.3,2.7
99,Almere,NL,34179,396.8,313.2,302.3,194.7,481.1,65.3,89.3,100.0,64.7,10.9,2.5
138,Rotterdam,NL,91554,399.1,309.4,311.3,183.3,512.7,63.4,89.2,100.0,63.3,10.9,2.8
131,Kalisz,PL,8351,399.4,269.7,346.3,157.7,547.1,66.1,85.5,100.0,66.1,14.5,3.5
195,Częstochowa,PL,22405,399.4,300.9,316.0,170.0,539.7,63.3,87.2,100.0,63.3,12.8,3.2
126,Nieuwegein,NL,21433,403.4,322.1,306.7,202.7,493.9,63.2,90.0,100.0,63.8,9.8,2.4
695,Μουρνιές,GR,7525,406.4,295.9,330.4,157.4,583.0,62.2,86.0,100.0,62.9,13.7,3.7
105,Amsterdam,NL,112101,407.8,299.2,341.2,171.5,514.7,64.4,86.4,100.0,65.3,13.2,3.0
694,Ragusa,IT,5888,409.0,255.2,387.5,148.8,520.3,69.4,83.4,100.0,70.0,16.3,3.5
632,Mérida,ES,5721,409.3,294.7,345.4,164.3,542.2,62.8,87.2,100.0,63.7,12.1,3.3
155,Breda,NL,21815,410.1,303.5,334.6,184.0,494.5,65.6,86.3,100.0,66.9,13.2,2.7
119,Zoetermeer,NL,21256,413.2,316.1,325.3,190.9,520.6,63.1,87.9,100.0,64.7,11.5,2.7
477,Modena,IT,14178,413.3,326.2,322.4,181.7,542.8,59.6,88.4,100.0,61.1,10.7,3.0
244,Tychy,PL,13050,422.6,296.3,349.3,161.1,603.2,60.8,84.0,100.0,62.9,14.2,3.7
678,Ασπρόχωμα,GR,6608,424.3,289.0,382.7,141.2,574.5,63.0,83.3,100.0,65.0,15.3,4.1
91,Alkmaar,NL,14113,426.5,305.4,352.3,181.3,546.6,63.0,84.7,100.0,66.0,13.6,3.0
546,Zamora,ES,5042,426.8,292.7,379.9,143.6,590.2,61.9,82.9,100.0,64.5,15.2,4.1
122,Gouda,NL,10828,427.7,306.0,359.5,176.5,545.9,62.4,85.1,100.0,65.3,13.3,3.1
98,Haarlem,NL,23409,429.4,323.2,343.4,184.4,557.0,60.6,85.8,100.0,63.9,12.5,3.0
675,Δήμος Λάρνακας,CY,13272,431.2,343.8,325.2,199.9,561.9,57.6,87.6,100.0,61.5,10.5,2.8
657,Mairena del Aljarafe,ES,20079,432.6,306.4,355.4,164.9,612.2,60.0,83.4,100.0,62.8,14.2,3.7
515,Ancona,IT,7782,434.7,350.0,342.8,179.9,576.6,56.4,86.6,100.0,60.6,11.3,3.2
59,Białystok,PL,38688,435.6,313.9,355.3,172.9,603.5,60.3,83.9,100.0,63.5,13.8,3.5
548,Hoya de Huesca / Plana de Uesca,ES,4036,436.7,244.0,424.9,119.7,680.9,63.8,79.2,100.0,65.3,18.3,5.7
55,Ortsbeirat 14 : Stadtmitte,DE,14768,436.8,348.9,323.1,191.5,608.3,56.2,86.1,100.0,60.3,10.8,3.2
509,Montpellier,FR,37620,443.0,334.9,358.4,170.9,613.8,57.9,83.3,100.0,62.2,13.6,3.6
669,Partido Judicial de Santa Fe,ES,7977,447.9,330.0,364.1,182.7,602.0,58.8,84.2,100.0,63.6,12.9,3.3
60,Grudziądz,PL,9339,448.1,347.6,345.4,202.2,585.6,57.2,85.1,100.0,63.1,12.1,2.9
616,Toledo,ES,5270,448.3,215.6,456.5,116.9,701.0,64.0,77.8,100.0,65.9,19.4,6.0
106,Almelo,NL,11451,448.4,360.7,318.9,226.1,573.3,56.2,86.9,100.0,62.5,10.1,2.5
113,Apeldoorn,NL,24738,448.5,357.5,320.4,222.7,577.6,56.8,85.6,100.0,63.3,11.4,2.6
249,Cherbourg,FR,12535,451.3,365.9,321.5,216.5,601.5,54.5,85.6,100.0,60.7,10.5,2.8
136,Arnhem,NL,32771,453.0,362.8,326.1,217.4,599.6,55.1,85.5,100.0,61.6,10.8,2.8
