bounds_fid,city_label,country,n_nodes,mean_dist,median_dist,std_dist,p25_dist,p75_dist,pct_within_400m,pct_within_800m,pct_within_1600m,pct_below_city_mean,pct_above_2x_city_mean,equity_ratio
551,Ξάνθη,GR,3711,504.00,303.99,454.08,135.40,841.45,56.29,73.57,100.00,62.03,18.49,6.21
616,Toledo,ES,5270,448.33,215.57,456.50,116.94,700.99,64.02,77.80,100.00,65.88,19.45,5.99
548,Hoya de Huesca / Plana de Uesca,ES,4036,436.65,244.02,424.88,119.70,680.94,63.78,79.16,100.00,65.29,18.29,5.69
466,A Coruña,ES,19616,394.71,273.75,347.86,123.72,580.56,61.76,86.04,100.00,61.26,14.35,4.69
583,Guadalajara,ES,5798,477.89,291.60,428.76,153.78,714.30,58.93,77.68,100.00,64.14,17.40,4.65
468,Alessandria,IT,4916,481.60,324.58,405.34,163.06,755.92,56.75,76.63,100.00,62.33,15.97,4.64
387,Focșani,RO,4009,518.86,345.55,420.99,181.34,836.78,53.58,73.53,100.00,60.09,15.96,4.61
581,Baix Camp,ES,6856,457.11,321.09,393.83,151.27,670.05,57.64,80.98,100.00,62.54,14.57,4.43
162,Lubin,PL,8482,537.88,373.69,429.92,191.33,844.25,52.33,73.05,100.00,61.18,15.81,4.41
372,Szombathely,HU,6933,540.81,410.86,422.44,192.59,827.60,49.20,73.73,100.00,59.35,14.37,4.30
366,Székesfehérvár,HU,7953,498.84,378.39,397.63,176.58,735.71,51.89,78.36,100.00,59.69,13.76,4.17
526,Arezzo,IT,6478,525.69,418.44,395.60,192.56,793.53,48.60,75.38,100.00,58.06,12.84,4.12
546,Zamora,ES,5042,426.75,292.65,379.89,143.59,590.15,61.92,82.88,100.00,64.46,15.15,4.11
678,Ασπρόχωμα,GR,6608,424.31,289.04,382.71,141.20,574.50,62.97,83.34,100.00,65.03,15.35,4.07
476,Шумен,BG,4998,536.21,383.31,422.47,205.13,802.28,51.62,74.89,100.00,62.20,15.23,3.91
251,Pardubice,CZ,14131,481.91,349.51,379.00,184.34,714.75,54.65,79.37,100.00,60.93,13.33,3.88
504,El Bierzo,ES,5536,532.95,420.89,409.25,202.19,767.32,47.81,76.34,100.00,59.86,14.31,3.80
347,VVG der Gemeinde Gundelfingen,DE,25819,467.44,335.51,390.32,172.79,654.41,57.26,81.08,100.00,63.52,14.66,3.79
266,Aschaffenburg,DE,8233,582.76,467.75,417.15,235.59,888.24,44.05,70.79,100.00,58.52,13.06,3.77
244,Tychy,PL,13050,422.60,296.26,349.30,161.06,603.18,60.79,83.99,100.00,62.87,14.25,3.75
657,Mairena del Aljarafe,ES,20079,432.60,306.39,355.40,164.86,612.23,59.99,83.36,100.00,62.77,14.19,3.71
695,Μουρνιές,GR,7525,406.39,295.92,330.36,157.44,583.03,62.21,85.95,100.00,62.87,13.73,3.70
269,Bamberg,DE,12815,529.14,413.71,394.46,211.96,781.00,48.62,76.06,100.00,59.57,13.20,3.68
420,Lugano,CH,10343,548.08,436.75,401.12,221.50,815.79,46.29,74.23,100.00,58.72,13.19,3.68
550,Pescara,IT,22389,517.58,405.01,391.20,205.78,750.57,49.48,77.17,100.00,60.60,13.68,3.65
143,Chełm,PL,9297,538.29,410.84,393.95,223.01,806.93,49.04,74.64,100.00,59.55,12.23,3.62
509,Montpellier,FR,37620,443.04,334.90,358.41,170.90,613.81,57.87,83.33,100.00,62.20,13.59,3.59
274,Höchberg,DE,21958,495.96,390.63,376.05,198.43,712.60,50.92,79.33,100.00,60.21,13.11,3.59
352,Stephanskirchen,DE,10077,562.05,455.05,400.49,234.33,836.18,45.07,73.12,100.00,58.66,12.68,3.57
350,Tatabánya,HU,5662,569.48,447.69,409.22,244.84,869.93,45.07,72.22,100.00,60.67,12.86,3.55
444,Brescia,IT,26904,568.36,472.43,406.19,231.63,822.23,43.44,73.91,100.00,57.88,12.72,3.55
208,Wałbrzych,PL,10822,555.26,456.60,390.10,233.05,819.82,43.98,74.05,100.00,58.50,11.54,3.52
142,Radom,PL,25248,462.50,332.05,375.75,184.66,648.18,58.93,81.37,100.00,64.75,14.34,3.51
