City,Country,Nodes,Mean Dist (m),Median Dist (m),Std Dev (m),% within 400m,% within 800m
Venezia,IT,7249,311.6,214.6,271.6,72.6,94.0
Warszawa,PL,301674,419.4,279.0,371.5,63.4,84.1
Almere,NL,43043,432.8,328.1,338.8,61.7,86.2
Utrecht,NL,69371,434.1,309.7,366.5,62.7,84.6
Lublin,PL,55663,441.2,290.6,388.5,63.0,82.0
Bratislava,SK,62144,442.1,296.9,382.4,61.9,82.2
Hoorn,NL,16793,443.3,346.4,338.1,58.0,86.0
Gdańsk,PL,96708,445.5,313.7,378.3,60.1,83.4
Leiden,NL,62217,445.8,328.7,358.9,59.9,84.5
Kraków,PL,131058,446.7,312.3,373.3,59.7,82.5
Wrocław,PL,107576,448.8,319.3,374.4,58.5,82.3
Trnava,SK,9033,453.8,326.0,373.6,58.9,82.3
Praha,CZ,169885,454.7,339.1,362.7,57.0,82.4
Zwolle,NL,27114,457.3,340.5,361.1,58.2,83.6
Płock,PL,13767,459.2,307.4,401.6,62.4,81.4
Groningen,NL,30857,459.7,346.8,366.9,57.1,83.5
Łomża,PL,8467,462.1,305.6,392.9,59.8,80.5
Leeuwarden,NL,20504,463.3,360.1,352.5,55.7,84.1
Košice,SK,31517,463.6,328.1,379.0,58.5,81.5
Vaslui,RO,1965,463.7,321.7,401.9,59.5,82.1
Vilnius,LT,77976,465.1,333.3,377.7,58.3,81.6
Vallkärra by,SE,24952,465.4,380.0,336.8,53.0,84.9
Łódź,PL,111413,468.1,320.8,388.3,58.2,80.0
Amsterdam,NL,155495,468.6,343.4,376.8,57.4,81.6
Rotterdam,NL,127200,468.6,355.0,363.6,56.0,83.1
Schwabing-Freimann,DE,211595,472.7,366.6,363.4,54.2,82.6
Zagreb,HR,71817,473.8,330.5,392.5,57.2,79.8
Den Haag,NL,112359,474.7,350.4,375.6,56.5,81.9
Poznań,PL,103024,476.7,340.7,388.3,56.4,80.0
Brașov,RO,18419,478.8,331.7,402.1,57.5,79.1
Ancona,IT,9811,482.5,379.5,386.9,52.5,82.1
Tallinn,EE,68100,486.3,362.0,381.0,54.6,80.9
Toruń,PL,46758,487.3,353.2,390.9,55.1,79.9
