City,Country,Nodes,City Mean (m),% Below City Mean,% Below EU Avg,% Severely Underserved,Equity Ratio (P75/P25)
Lugo,ES,11158,555.5,60.7,62.7,18.3,6.2
A Coruña,ES,27556,489.3,60.8,71.3,16.2,5.1
Focșani,RO,4767,594.1,58.1,56.1,15.7,4.9
Santiago,ES,18288,553.3,60.0,62.3,16.2,4.8
Asti,IT,5452,545.0,60.3,63.5,15.9,4.8
Miroslava,RO,24360,547.2,59.7,62.6,15.7,4.8
Pécs,HU,18512,518.1,62.9,69.7,17.4,4.6
Ełk,PL,8177,508.4,66.4,74.9,19.1,4.6
Győr,HU,12561,588.9,57.8,56.3,14.8,4.6
Pavia,IT,8494,581.1,59.1,58.3,15.2,4.5
Kalisz,PL,12500,554.9,60.5,62.6,16.4,4.5
Valea Voievozilor,RO,4796,549.5,60.2,62.9,15.1,4.5
Szombathely,HU,9489,664.4,55.0,47.5,12.8,4.5
Lubin,PL,9667,570.0,60.3,60.8,15.5,4.5
Sântuhalm,RO,3500,639.1,57.3,51.5,14.3,4.4
Székesfehérvár,HU,10993,564.5,58.1,59.1,14.7,4.4
Rzeszów,PL,39814,549.9,60.2,62.9,15.5,4.4
Firenze,IT,50341,515.7,61.3,68.2,15.3,4.3
Debrecen,HU,17638,501.0,61.2,70.1,14.8,4.3
Savona,IT,8990,646.5,56.5,50.2,13.1,4.3
Verona,IT,27349,587.8,59.2,57.8,15.0,4.3
Bydgoszcz,PL,40556,533.7,62.1,66.8,16.0,4.3
Radom,PL,35643,547.9,62.8,65.8,16.8,4.2
Opole,PL,16378,596.8,57.8,55.6,14.0,4.2
Zielona Góra,PL,31509,570.8,58.0,58.3,14.1,4.2
Satu Mare,RO,6854,604.9,60.0,56.9,15.0,4.2
Słupsk,PL,17907,490.7,63.5,74.2,16.2,4.2
Bielsko-Biała,PL,29917,622.7,56.2,51.8,12.5,4.2
Olsztyn,PL,23455,488.4,62.4,73.3,15.3,4.2
Zürich,CH,150485,539.1,60.2,64.1,14.7,4.1
Darmstadt-Nord,DE,32770,635.7,57.2,51.7,13.2,4.1
El Bierzo,ES,7149,612.6,58.0,54.3,13.6,4.1
Koszalin,PL,15747,491.5,63.9,74.6,16.1,4.1
Altstadt,DE,34320,586.0,59.0,57.8,14.5,4.1
Suwałki,PL,9694,536.9,63.4,67.7,16.3,4.1
Baciu,RO,24773,516.9,62.7,69.6,16.2,4.1
Klaipėda,LT,19631,577.1,59.8,59.5,14.8,4.1
VVG der Gemeinde Gundelfingen,DE,40430,577.2,59.5,59.2,14.9,4.1
Głogów,PL,8328,518.1,60.4,67.0,15.3,4.1
Włocławek,PL,12330,562.9,61.8,63.0,16.3,4.1
Kielce,PL,35186,496.1,64.2,74.3,16.5,4.1
"Innenstadt, Frankfurt (Oder)",DE,12447,608.3,58.9,55.5,14.3,4.1
Brașov,RO,18419,478.8,63.7,76.4,15.3,4.0
Tychy,PL,16128,488.1,62.2,73.1,14.5,4.0
Lecco,IT,8376,626.8,57.4,52.5,13.7,4.0
Plzeň,CZ,28833,571.9,59.5,59.7,14.3,4.0
Gliwice,PL,26383,555.2,59.8,61.8,14.5,4.0
Trento,IT,16725,654.7,56.1,49.2,12.8,4.0
Pardubice,CZ,20127,581.3,57.1,56.4,13.3,4.0
Nîmes,FR,21501,593.6,58.9,56.9,14.2,4.0
Ostrava,CZ,23739,646.9,57.1,50.7,12.9,4.0
Велико Търново,BG,7034,546.2,59.7,62.7,12.8,4.0
Szeged,HU,18097,518.4,62.3,68.9,15.6,4.0
Budapest,HU,168328,511.3,61.5,69.0,14.7,3.9
Brno,CZ,60345,529.1,60.7,65.9,14.3,3.9
Bern,CH,46518,587.8,59.3,57.9,14.0,3.9
Wittenbach,CH,23926,633.2,57.1,51.7,12.6,3.9
Zug,CH,19822,662.6,55.5,48.1,11.7,3.9
Tübingen,DE,20948,638.2,57.0,51.2,12.5,3.9
Siedlce,PL,10349,539.7,60.5,64.4,14.9,3.9
Łódź,PL,111413,468.1,63.2,77.5,14.9,3.9
Zagreb,HR,71817,473.8,63.2,76.6,14.9,3.9
Piotrków Trybunalski,PL,9734,490.2,62.0,72.5,14.2,3.9
Wrocław,PL,107576,448.8,62.7,80.2,14.1,3.9
Szczecin,PL,45726,509.0,59.6,67.2,13.3,3.9
Gdynia,PL,45669,532.4,60.7,65.5,14.5,3.9
Hradec Králové,CZ,16785,572.4,59.6,59.7,14.0,3.9
Pabianice,PL,9044,580.5,58.1,57.4,12.8,3.8
Stephanskirchen,DE,17110,655.4,56.1,49.1,11.2,3.8
Ede,NL,27452,603.4,60.1,57.1,14.3,3.8
Montpellier,FR,60333,557.8,59.8,61.6,14.0,3.8
Rudicica,RO,29303,514.5,61.3,68.4,14.3,3.8
Legionowo,PL,21964,701.2,53.8,44.0,9.1,3.8
Białystok,PL,44523,491.3,62.2,72.6,14.3,3.8
Brest,FR,27793,604.3,58.0,55.1,12.3,3.8
Pisa,IT,21738,646.5,55.1,48.9,11.2,3.8
Ljubljana,SI,44659,592.2,58.9,57.1,13.6,3.8
Częstochowa,PL,29477,497.7,62.3,71.8,14.5,3.8
Nyíregyháza,HU,11687,658.9,55.1,48.0,10.4,3.8
Tarnów,PL,19654,653.9,55.2,48.5,11.1,3.8
Poznań,PL,103024,476.7,62.8,75.6,14.4,3.8
Jena-Zentrum,DE,20909,611.5,58.4,54.8,13.5,3.8
Warszawa,PL,301674,419.4,65.0,88.9,14.6,3.8
Hilversum,NL,25134,660.8,56.2,48.8,11.7,3.8
Kecskemét,HU,11273,614.3,56.9,53.1,12.0,3.8
Nowy Sącz,PL,12990,593.3,56.9,55.0,12.2,3.7
Bratislava,SK,62144,442.1,65.1,84.6,15.3,3.7
Besançon,FR,24031,601.9,57.9,55.2,12.8,3.7
Uttenreuth (VGem),DE,28618,621.1,57.9,53.5,13.0,3.7
Montreux,CH,12798,641.7,57.0,51.0,12.1,3.7
Tarbes,FR,13556,607.7,57.6,54.4,12.7,3.7
Aldrans,AT,22407,655.4,57.2,50.1,12.5,3.7
Kraków,PL,131058,446.7,63.6,81.8,14.2,3.7
Chełm,PL,10827,581.9,58.2,57.4,11.8,3.7
Banská Bystrica,SK,12154,532.3,63.2,68.2,15.0,3.7
Gent,BE,46088,595.4,56.7,54.7,11.8,3.7
Vaihingen,DE,34760,618.4,57.8,53.6,12.3,3.7
Neureut,DE,56768,563.8,60.1,61.2,13.9,3.7
Łomża,PL,8467,462.1,64.8,80.4,15.4,3.7
Ferrara,IT,14615,551.2,59.5,61.9,13.3,3.7
Erfurt,DE,32722,564.6,60.0,61.0,13.7,3.6
Lublin,PL,55663,441.2,66.3,86.2,15.5,3.6
Sosnowiec,PL,41065,658.0,55.8,48.6,11.1,3.6
České Budějovice,CZ,19204,554.5,60.0,62.1,13.1,3.6
Ústí nad Labem,CZ,11504,561.6,59.1,60.4,13.5,3.6
Bamberg,DE,18608,592.6,59.3,57.4,13.4,3.6
Gorzów Wielkopolski,PL,17053,505.0,60.7,69.0,12.8,3.6
Toruń,PL,46758,487.3,62.6,73.7,14.3,3.6
Wals-Siezenheim,AT,30562,602.7,58.1,55.4,12.2,3.6
Höchberg,DE,38907,620.6,57.3,53.0,11.6,3.6
Liberec,CZ,18146,641.5,57.8,51.7,12.6,3.6
Stuttgart-Mitte,DE,132212,586.1,58.6,57.3,12.7,3.6
Münster-Mitte,DE,40070,525.2,60.2,65.8,13.3,3.6
Haarlem,NL,46372,589.0,60.7,59.1,14.2,3.6
Vicenza,IT,17110,626.2,57.9,53.1,12.0,3.6
Praha,CZ,169885,454.7,62.2,78.6,13.5,3.6
Miskolc,HU,18158,622.8,56.9,52.4,11.5,3.6
Sibiu,RO,12116,504.1,61.4,70.0,13.8,3.6
Piła,PL,9962,488.4,62.4,73.3,14.2,3.6
Zoetermeer,NL,35426,555.3,62.4,64.4,14.8,3.6
Verwaltungsgemeinschaft Konstanz,DE,18821,607.7,58.7,55.4,13.1,3.6
Grudziądz,PL,13344,540.4,61.8,65.6,13.9,3.6
Mitte-Gartenfeld,DE,20865,639.5,56.9,51.1,11.9,3.6
Lappersdorf,DE,31978,595.9,58.5,56.3,12.3,3.5
Treviso,IT,17940,613.0,57.5,53.8,12.0,3.5
Gdańsk,PL,96708,445.5,64.3,82.9,14.0,3.5
Osijek,HR,9184,513.3,61.4,68.7,13.8,3.5
Göttingen,DE,35281,553.6,60.5,62.7,13.3,3.5
Olomouc,CZ,18631,488.5,61.9,72.8,13.2,3.5
Nieuwegein,NL,44280,541.5,63.7,67.6,15.0,3.5
Venezia,IT,7249,311.6,65.0,100.0,12.8,3.5
Biebrich,DE,39408,635.2,57.5,51.9,11.7,3.5
Aachen,DE,44504,594.0,58.3,56.4,12.3,3.5
Neustadt,DE,33470,596.3,59.6,57.3,13.0,3.5
Küsnacht (ZH),CH,25356,617.2,58.6,54.5,12.5,3.5
Reggio Emilia,IT,17627,576.7,58.3,58.0,12.7,3.5
Grenoble,FR,53849,521.7,61.1,67.2,13.2,3.5
Wałbrzych,PL,15389,643.6,56.9,50.7,11.3,3.5
Gießen,DE,29948,666.1,55.0,47.4,9.4,3.5
Bayonne,FR,26894,596.4,57.2,55.0,11.0,3.5
Winterthur,CH,37305,659.9,56.2,48.8,10.7,3.5
Böckingen,DE,29319,672.4,56.3,48.0,10.8,3.5
Maastricht,NL,27431,600.6,58.3,55.7,13.1,3.5
Saint-Étienne,FR,25855,581.8,57.5,56.7,12.4,3.5
Udine / Udin,IT,20274,576.1,58.3,58.1,12.3,3.5
Tatabánya,HU,7560,621.9,59.2,54.6,11.8,3.5
Leuven,BE,25648,632.8,56.3,51.0,11.1,3.5
Antwerpen,BE,65698,555.0,59.2,61.2,12.9,3.5
Katowice,PL,213785,511.5,61.3,68.8,13.2,3.5
Bergisch Gladbach,DE,147736,563.7,59.0,60.0,12.6,3.4
Vilnius,LT,77976,465.1,64.2,79.2,14.1,3.4
Neu-Ulm,DE,39169,583.3,59.2,58.3,12.9,3.4
Trnava,SK,9033,453.8,64.9,82.0,13.9,3.4
Košice,SK,31517,463.6,63.9,79.1,14.4,3.4
Padova,IT,45823,575.8,58.5,58.3,12.5,3.4
Lausanne,CH,46888,534.0,58.8,63.2,12.1,3.4
Modena,IT,17482,496.1,62.0,71.7,13.5,3.4
Strasbourg,FR,58285,552.5,60.5,62.9,13.2,3.4
Aschaffenburg,DE,19571,704.4,53.9,43.9,8.0,3.4
Lugano,CH,17170,656.5,55.7,48.7,10.3,3.4
Nancy,FR,30769,543.2,61.0,64.4,13.7,3.4
Latgales apkaime,LV,97411,490.1,63.4,74.2,14.2,3.4
Martin,SK,8234,621.1,58.4,54.0,12.2,3.4
Brescia,IT,44923,634.3,56.8,51.4,11.6,3.4
Kaunas,LT,44085,573.5,60.0,60.1,12.7,3.4
Žilina,SK,14631,532.8,60.9,65.6,13.0,3.4
Altstadt,DE,54773,603.0,58.8,55.9,12.4,3.4
Ancona,IT,9811,482.5,61.7,73.4,13.2,3.4
Steglitz-Zehlendorf,DE,33629,544.4,59.5,62.7,12.2,3.4
Innenstadt 1,DE,139461,529.0,61.2,66.4,13.5,3.4
"Gartenstadt, Wendelhöfen",DE,20568,654.6,55.7,48.8,10.3,3.4
Chemnitz,DE,42186,611.8,57.8,54.2,11.4,3.4
