country,n_cities,accommodation_nearest_m_median,accommodation_nearest_m_q1,accommodation_nearest_m_q3,active_life_nearest_m_median,active_life_nearest_m_q1,active_life_nearest_m_q3,arts_and_entertainment_nearest_m_median,arts_and_entertainment_nearest_m_q1,arts_and_entertainment_nearest_m_q3,attractions_and_activities_nearest_m_median,attractions_and_activities_nearest_m_q1,attractions_and_activities_nearest_m_q3,business_and_services_nearest_m_median,business_and_services_nearest_m_q1,business_and_services_nearest_m_q3,eat_and_drink_nearest_m_median,eat_and_drink_nearest_m_q1,eat_and_drink_nearest_m_q3,education_nearest_m_median,education_nearest_m_q1,education_nearest_m_q3,health_and_medical_nearest_m_median,health_and_medical_nearest_m_q1,health_and_medical_nearest_m_q3,public_services_nearest_m_median,public_services_nearest_m_q1,public_services_nearest_m_q3,religious_nearest_m_median,religious_nearest_m_q1,religious_nearest_m_q3,retail_nearest_m_median,retail_nearest_m_q1,retail_nearest_m_q3,accommodation_count_400m_median,accommodation_count_400m_q1,accommodation_count_400m_q3,active_life_count_400m_median,active_life_count_400m_q1,active_life_count_400m_q3,arts_and_entertainment_count_400m_median,arts_and_entertainment_count_400m_q1,arts_and_entertainment_count_400m_q3,attractions_and_activities_count_400m_median,attractions_and_activities_count_400m_q1,attractions_and_activities_count_400m_q3,business_and_services_count_400m_median,business_and_services_count_400m_q1,business_and_services_count_400m_q3,eat_and_drink_count_400m_median,eat_and_drink_count_400m_q1,eat_and_drink_count_400m_q3,education_count_400m_median,education_count_400m_q1,education_count_400m_q3,health_and_medical_count_400m_median,health_and_medical_count_400m_q1,health_and_medical_count_400m_q3,public_services_count_400m_median,public_services_count_400m_q1,public_services_count_400m_q3,religious_count_400m_median,religious_count_400m_q1,religious_count_400m_q3,retail_count_400m_median,retail_count_400m_q1,retail_count_400m_q3,street_furn_nearest_m_median,street_furn_nearest_m_q1,street_furn_nearest_m_q3,parking_nearest_m_median,parking_nearest_m_q1,parking_nearest_m_q3,transport_nearest_m_median,transport_nearest_m_q1,transport_nearest_m_q3,hill_q0_richness_median,hill_q0_richness_q1,hill_q0_richness_q3,hill_q1_shannon_median,hill_q1_shannon_q1,hill_q1_shannon_q3,hill_q2_simpson_median,hill_q2_simpson_q1,hill_q2_simpson_q3,betweenness_median,betweenness_q1,betweenness_q3,network_density_median,network_density_q1,network_density_q3,cycles_median,cycles_q1,cycles_q3,harmonic_closeness_median,harmonic_closeness_q1,harmonic_closeness_q3,green_nearest_m_median,green_nearest_m_q1,green_nearest_m_q3,trees_nearest_m_median,trees_nearest_m_q1,trees_nearest_m_q3,green_area_400m_median,green_area_400m_q1,green_area_400m_q3,trees_area_400m_median,trees_area_400m_q1,trees_area_400m_q3,building_height_m_median,building_height_m_q1,building_height_m_q3,building_area_m2_median,building_area_m2_q1,building_area_m2_q3,building_compactness_median,building_compactness_q1,building_compactness_q3,building_volume_m3_median,building_volume_m3_q1,building_volume_m3_q3,floor_area_ratio_median,floor_area_ratio_q1,floor_area_ratio_q3,block_coverage_ratio_median,block_coverage_ratio_q1,block_coverage_ratio_q3,pop_density_per_km2_median,pop_density_per_km2_q1,pop_density_per_km2_q3,employment_rate_median,employment_rate_q1,employment_rate_q3,age_under15_pct_median,age_under15_pct_q1,age_under15_pct_q3,age_15to64_pct_median,age_15to64_pct_q1,age_15to64_pct_q3,age_over65_pct_median,age_over65_pct_q1,age_over65_pct_q3,male_pct_median,male_pct_q1,male_pct_q3,female_pct_median,female_pct_q1,female_pct_q3
DE,73,704.43744,646.8342895507812,767.6314697265625,446.0047,413.0174255371094,474.13519287109375,589.8223,553.3216552734375,640.2666015625,634.86633,580.1104736328125,682.1909790039062,165.25299,155.10105895996094,175.90948486328125,401.59268,372.96185302734375,424.4151611328125,422.1035,391.30303955078125,461.17303466796875,382.0197,357.9158935546875,414.0305480957031,412.9626,390.039306640625,453.8870849609375,649.29346,617.7453002929688,695.1930541992188,290.5101,270.2017517089844,308.78924560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,236.4671,212.90924072265625,269.46978759765625,723.2957763671875,659.767578125,814.0982666015625,281.95496,258.5616455078125,320.2358093261719,5.0,4.0,5.0,3.3635857,3.0207204818725586,3.500000238418579,2.6666667,2.484724521636963,2.777777671813965,138.0,120.0,152.0,93.0,81.0,99.0,65.0,54.0,73.0,0.4661072,0.41885805130004883,0.5049959421157837,81.53274536132812,64.0307388305664,99.92816162109375,61.76560974121094,46.754981994628906,83.27220153808594,0.24996217,0.19555500149726868,0.3375356197357178,0.038026378,0.023633433505892754,0.05688389018177986,5.9166669845581055,5.0714287757873535,6.400000095367432,109.55257,92.63147735595703,131.57073974609375,0.555876,0.5480434894561768,0.5648864507675171,679.3988647460938,554.2521362304688,821.1248779296875,170.34397888183594,144.0595245361328,212.11083984375,0.2163620889186859,0.19964978098869324,0.22920450568199158,2437.1868795114447,2186.305412269523,2738.9919224439673,0.38275916076127936,0.33455557691291765,0.39981658700645684,0.13329330935017913,0.12500355667892685,0.13850794748111822,0.6507667681565863,0.6425930260907838,0.6662274798584434,0.2090743714602925,0.193131240588192,0.22136317687753715,0.4911222354016575,0.4855704744552512,0.4953615653322379,0.5096712822992273,0.5052040442433546,0.5142701680335948
IT,62,486.38837,372.3302764892578,575.4910125732422,342.0027,303.01226806640625,378.5966033935547,504.05908,422.7797622680664,560.3435821533203,462.30212,388.3721923828125,530.5151977539062,134.93004,122.26509475708008,161.34876251220703,235.61546,206.71731185913086,275.2134475708008,374.0423,323.2664260864258,420.6695556640625,334.61996,293.8771209716797,383.86077880859375,316.35675,278.06285858154297,365.56427001953125,555.1721,486.43885803222656,597.9412231445312,181.31517,160.98831939697266,224.0190200805664,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.25,10.75,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,6.0,451.16837,365.3744201660156,595.9896240234375,721.5794982910156,626.0052795410156,892.4969024658203,284.50793,213.71359252929688,437.11775970458984,6.0,5.0,7.0,4.209627,3.743005096912384,4.586965203285217,3.423048,3.1458505392074585,3.5946043133735657,100.5,79.0,119.5,70.5,58.25,82.25,47.0,34.0,60.25,0.3695556,0.31139621138572693,0.4303210452198982,78.67240142822266,66.14726829528809,100.2055721282959,90.50971603393555,66.12789344787598,115.01258659362793,0.1894256,0.14445797726511955,0.23815416544675827,0.0130651295,0.007793712895363569,0.02459024405106902,6.612499952316284,5.451136231422424,7.910008072853088,185.60852,149.4139175415039,222.64016723632812,0.5247848,0.5062609612941742,0.5364025235176086,1197.4146118164062,927.854248046875,1874.7835083007812,314.4649353027344,248.17262649536133,492.9353561401367,0.2264353483915329,0.2019966058433056,0.2475234791636467,3005.962974824162,2344.173094625313,4248.096890628705,0.42495642495335484,0.39163642233605095,0.4421688698016819,0.11936089352795223,0.11520010460490482,0.1276749786631597,0.6289868111277466,0.6217584465753018,0.6390113540772447,0.24885080479229987,0.23703811125655264,0.2625697977156798,0.4811950447324188,0.47753000392263867,0.4852183616821243,0.5188049552675813,0.5147816383178756,0.5224699960773614
NL,35,735.219,671.3595886230469,799.1062316894531,363.27515,337.14813232421875,398.1010437011719,568.0038,522.09716796875,617.3535461425781,453.89056,423.88356018066406,495.50787353515625,141.9409,135.56764221191406,160.94776153564453,411.5137,381.2332763671875,440.3723449707031,347.05722,307.68280029296875,375.30841064453125,298.0851,274.1813507080078,331.30870056152344,299.59445,274.5191650390625,345.15740966796875,646.53656,584.1307373046875,725.8775634765625,256.02258,241.7016830444336,279.0818634033203,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.5,2.0,257.75366,242.36874389648438,303.02301025390625,840.363037109375,762.2716674804688,905.726806640625,318.53534,300.3267517089844,341.04685974121094,6.0,5.0,6.0,4.115511,3.6792060136795044,4.313149452209473,3.2666667,2.9757083654403687,3.427261710166931,196.0,158.0,218.5,119.0,102.0,131.0,96.0,79.5,116.0,0.6014294,0.5181505382061005,0.6608550548553467,87.29927062988281,58.24285125732422,102.99604415893555,53.511966705322266,43.0543098449707,67.84505844116211,0.17686619,0.13008172810077667,0.21769879013299942,0.06373905,0.04027673788368702,0.07735873013734818,5.174999952316284,5.0,5.458333373069763,53.852104,51.20790100097656,55.26848030090332,0.53412956,0.5272630453109741,0.5381990671157837,286.18800354003906,277.90637969970703,298.67240142822266,62.24689483642578,57.1523551940918,63.97709369659424,0.2588745057582855,0.2474565953016281,0.27247726917266846,3202.3030901779516,2710.5081847364445,3697.9556041319543,0.5120437742316364,0.4936876394409496,0.5214908055220445,0.1535509883952294,0.14630684959699497,0.16045797613819018,0.644847124204486,0.633416740337237,0.658926903208648,0.19614548132772114,0.17596664746230467,0.20882569323226813,0.49533749328208465,0.4931023802617691,0.49828645371867414,0.5039512053404482,0.5017816047314465,0.507467027690921
FR,26,609.21387,541.1817932128906,664.0063781738281,407.4477,381.94115447998047,427.79590606689453,581.76825,539.4588012695312,627.5621795654297,585.178,532.0666198730469,619.7180328369141,169.3005,157.7799530029297,183.59532165527344,384.13287,352.54100799560547,414.3167037963867,413.92316,391.8204345703125,441.19225311279297,374.54276,354.2310256958008,413.1872329711914,369.29333,345.73683166503906,415.663330078125,740.5536,699.0574035644531,790.53857421875,271.71902,255.662109375,299.20018768310547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,300.46075,257.8806381225586,375.66107177734375,716.46044921875,675.4663696289062,891.8479156494141,229.83734,218.58921432495117,248.42203521728516,5.0,4.25,5.0,3.633325,3.449437379837036,3.8973953127861023,2.9638526,2.817888617515564,3.065071940422058,130.0,104.0,148.75,86.0,70.0,93.0,60.0,44.0,67.0,0.4417363,0.3639615848660469,0.4894048348069191,129.17007446289062,111.98145484924316,140.95630645751953,55.22820281982422,47.777156829833984,76.78981399536133,0.11290297,0.09382196702063084,0.15391805768013,0.030903682,0.021869557444006205,0.03837116528302431,4.45588231086731,4.169999837875366,5.285714387893677,71.914474,65.6168155670166,79.43764114379883,0.50772023,0.5033755749464035,0.5206023901700974,327.4666442871094,302.4051971435547,383.6609802246094,85.39065170288086,76.56372261047363,101.2878646850586,0.1922798678278923,0.17904438450932503,0.2118212953209877,2392.2286842860767,1919.9093070165384,2752.4876764535234,,,,0.14989804709408988,0.1374173885454309,0.16586945925862728,0.6148626046705917,0.5979028673539529,0.6357371726073622,0.21766966665797005,0.19179998828375044,0.26151434597306855,0.4717152504098594,0.46856042030892053,0.4760587761108177,0.5282847495901406,0.5239412238891823,0.5314395796910795
CH,17,651.6892,627.1100463867188,770.58203125,420.87607,364.9017333984375,436.0833435058594,610.0944,566.9229125976562,642.0587158203125,551.76385,497.8604736328125,611.1946411132812,149.09474,128.56781005859375,169.5972900390625,367.54337,330.1386413574219,413.9446716308594,411.29056,369.02374267578125,476.6818542480469,364.84357,318.78826904296875,400.5653076171875,434.22934,366.8188171386719,455.5885314941406,669.8944,609.827392578125,715.6692504882812,281.06857,250.87399291992188,313.1839599609375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,224.33136,203.240966796875,233.75601196289062,527.9480590820312,485.33953857421875,626.6114501953125,265.42474,241.24005126953125,299.0295715332031,5.0,4.0,5.0,3.311199,3.0,3.614229679107666,2.565932,2.3809523582458496,2.813953399658203,124.0,102.0,134.0,86.0,80.0,93.0,60.0,53.0,67.0,0.4377588,0.4052889049053192,0.47127991914749146,73.89102172851562,52.24664306640625,142.42129516601562,91.78266906738281,63.859947204589844,128.52548217773438,0.18215528,0.0,0.44013267755508423,0.009472468,0.0,0.024449992924928665,7.5,6.900000095367432,8.366666793823242,155.66829,131.36163330078125,179.1549835205078,0.55766004,0.5543511509895325,0.5621322393417358,1206.905517578125,885.94873046875,1705.7880859375,314.9253234863281,228.83041381835938,472.6876220703125,0.20916369557380676,0.2004994973540306,0.2231595478951931,2500.539318548347,2052.98990524608,2814.199385636411,,,,0.15066264732073764,0.14529274482327034,0.15212628551914947,0.6583215901889321,0.6486634265115307,0.6717098469987101,0.1887676089217058,0.16942050045243018,0.2020387242860274,0.4921108176089269,0.48593475934070574,0.49835831757569327,0.5086000310389778,0.5013179402484615,0.5142714564332074
PL,15,555.9332,512.9088745117188,615.5411682128906,363.9377,340.5591735839844,387.9580993652344,551.31934,520.964599609375,574.3556213378906,518.67566,438.07395935058594,576.0047912597656,117.44711,109.96470642089844,121.16183090209961,323.1836,308.5005645751953,351.9559631347656,289.59882,276.64768981933594,322.29217529296875,283.17368,271.5121612548828,305.9098815917969,336.36255,309.26417541503906,356.2352752685547,661.12354,640.3021545410156,708.5182189941406,185.15543,167.80570220947266,193.6784896850586,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,15.5,1.0,1.0,1.0,1.0,1.0,1.5,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,5.5,231.13072,215.1893768310547,371.4466247558594,808.552001953125,674.1502380371094,875.1493835449219,269.44073,258.4389190673828,280.4888000488281,6.0,6.0,6.5,3.8412557,3.6589887142181396,3.9443365335464478,2.8644063,2.712101459503174,3.005287289619446,202.0,167.5,268.0,125.0,110.0,154.5,116.0,92.5,154.0,0.6580758,0.580569326877594,0.8298794627189636,83.12010192871094,75.46541595458984,104.54484939575195,58.975196838378906,46.71072578430176,70.14532089233398,0.20370528,0.16726482659578323,0.2488342970609665,0.042419896,0.02245776541531086,0.06324906833469868,5.599999904632568,4.995833396911621,6.0,104.053635,94.80443572998047,107.5323371887207,0.53903425,0.5313876569271088,0.5423443019390106,582.3150024414062,534.5597229003906,658.592041015625,140.9684600830078,130.49910736083984,175.03248596191406,0.16415567696094513,0.150851808488369,0.17324373126029968,3805.7984962174914,3309.3609883202903,4472.068324234131,0.4646547572004749,0.44033114938516027,0.4942620416203733,0.13366560552221843,0.1254763863793062,0.14040587039463764,0.6529354163701212,0.6424616994818113,0.657725136774765,0.2094390974887808,0.19138043270250088,0.2162160639566738,0.47103119776478297,0.4676732083636197,0.47623857856197005,0.5283690867171429,0.5235185927554322,0.5309444670620422
ES,11,319.9145,273.03028869628906,410.27757263183594,350.29715,325.05157470703125,372.8825378417969,437.81567,386.5375061035156,499.4606628417969,343.85336,290.47767639160156,389.0057373046875,146.73477,131.75854110717773,169.9930648803711,216.31592,206.3942108154297,249.16458892822266,324.17386,288.4441833496094,428.9402160644531,348.50055,316.5812683105469,396.4279479980469,357.91483,313.986328125,410.8554992675781,524.8911,457.5587463378906,608.3146667480469,215.27293,205.28749084472656,237.0044708251953,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.5,7.5,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,2.0,3.0,418.98068,361.7748107910156,469.8284606933594,636.5562133789062,592.5120544433594,757.8339233398438,274.95807,244.9285430908203,303.91261291503906,6.0,6.0,6.5,4.3492103,4.0843095779418945,4.44026255607605,3.436606,3.200645089149475,3.567029595375061,122.0,102.5,164.0,76.0,71.0,104.5,54.0,44.5,88.0,0.4221009,0.383882999420166,0.5612562596797943,62.27033233642578,41.35526084899902,88.24217987060547,140.64552307128906,78.43357849121094,181.87916564941406,0.29841247,0.21898868680000305,0.4488203823566437,0.008018367,0.004600852495059371,0.023038615472614765,6.383333206176758,5.973684310913086,6.984836101531982,155.59871,135.47972869873047,186.66616821289062,0.5087649,0.4963909983634949,0.5141953527927399,1015.7822875976562,907.5179138183594,1259.10205078125,257.1769714355469,240.56044006347656,320.63340759277344,0.25361931324005127,0.22094712406396866,0.3133566826581955,3101.582112653752,2359.728365369033,3507.995773623121,0.3642462852790747,0.33122420874787095,0.41509801871083796,0.13568899528565778,0.12313605935295546,0.15449697191127365,0.6702863313065405,0.6589942769026471,0.6844961158908702,0.16666062644314542,0.16064300052972413,0.21624209206386452,0.49133223578646157,0.47696768061643285,0.49413156407738945,0.5089988984051352,0.5051051606121216,0.52313542840484
BE,10,676.8877,612.8432159423828,754.3634490966797,401.652,368.009521484375,435.4373550415039,558.8561,484.3728942871094,648.9366912841797,461.34335,398.4128189086914,537.0661163330078,150.48172,135.57224655151367,163.76650619506836,345.13828,304.8467025756836,417.4991912841797,464.13925,408.38209533691406,522.9355926513672,348.03452,295.7833938598633,390.4929504394531,328.46368,298.3975143432617,398.96055603027344,771.56104,691.980712890625,813.5888824462891,268.08752,230.23931884765625,302.3657455444336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.25,7.0,1.0,0.25,1.0,0.0,0.0,0.0,1.0,0.25,1.0,1.0,0.25,1.0,0.0,0.0,0.0,2.0,1.0,2.75,312.1137,253.79913330078125,386.6539306640625,818.5582580566406,778.0098419189453,905.3490447998047,301.71057,293.6292953491211,332.1573715209961,5.5,4.0,6.0,3.8970904,3.266723394393921,4.316863775253296,3.1333332,2.8692631125450134,3.496013879776001,105.0,77.75,115.5,69.0,57.5,74.75,43.5,32.0,48.75,0.35773027,0.29855597764253616,0.38397230952978134,123.9183349609375,97.73206901550293,138.2579460144043,54.42130661010742,46.28379726409912,64.52670288085938,0.14293277,0.12630304507911205,0.2003861665725708,0.040747225,0.035213579423725605,0.0429582092911005,4.604166746139526,4.1505208015441895,5.0625001192092896,81.20944,77.31186485290527,83.32612228393555,0.5107904,0.5059966444969177,0.5309948623180389,432.0912780761719,355.71983337402344,471.45689392089844,107.06380462646484,86.33379745483398,116.2214527130127,0.22752949595451355,0.18103782087564468,0.2501310110092163,1891.2119419124858,1823.8522818118097,2257.6717867933526,0.44420686286179134,0.43064279843381414,0.46034867808372176,0.1646099778317503,0.14586955758933304,0.1719134984388874,0.6303708206935207,0.620239334829641,0.6508776637497811,0.19861720051006976,0.17421827265452045,0.2132528779124872,0.49121284697580625,0.4896860979095583,0.49439594434001194,0.5087871530241936,0.5056040556599881,0.5103139020904417
HU,9,551.407,495.50823974609375,575.2322387695312,359.65155,336.6883544921875,369.86639404296875,545.45776,530.5857543945312,583.24951171875,458.12054,443.5975036621094,497.61846923828125,132.36673,126.31366729736328,140.55123901367188,319.53793,306.49993896484375,339.6004638671875,345.55127,337.99774169921875,380.57110595703125,349.1543,331.7758483886719,383.8558349609375,418.2329,398.066650390625,455.57904052734375,679.20654,636.4967041015625,716.1085205078125,184.04175,175.57623291015625,192.71505737304688,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,317.49115,266.41644287109375,463.3084411621094,829.3621826171875,725.7791748046875,999.3955688476562,247.24338,238.75921630859375,253.89039611816406,6.0,5.0,6.0,3.7887845,3.6998212337493896,3.946408987045288,3.0581915,2.9284162521362305,3.11590313911438,103.0,98.0,122.0,70.0,65.0,79.0,43.0,38.0,52.0,0.3486612,0.3342185318470001,0.3955610394477844,156.61578369140625,123.00053405761719,158.5680694580078,79.08863830566406,72.03118133544922,94.05972290039062,0.0803837,0.06974838674068451,0.15343309938907623,0.016019322,0.0146403843536973,0.02281535230576992,4.777777671813965,4.349999904632568,5.5,154.64082,144.22402954101562,159.07559204101562,0.5495732,0.5297602415084839,0.554986834526062,908.830810546875,736.338134765625,1042.61767578125,220.0352020263672,186.54498291015625,260.51739501953125,0.20306600630283356,0.20003807544708252,0.21418125927448273,2727.6929428056483,2381.876624999797,2988.264647074042,0.5107800043477964,0.5014048094851096,0.5206193787667801,0.12667174407446768,0.12231326594017009,0.13425394397093243,0.6565423844066154,0.6515651057596578,0.66327857114136,0.21446186758089944,0.21004464606115195,0.22270569064514834,0.4701894482729174,0.4681674928922635,0.472419582561983,0.5302508746975587,0.52771934036112,0.5309010614528014
PT,8,628.19775,546.9473724365234,787.1595306396484,374.50888,355.10128021240234,487.60265350341797,634.68585,604.5102081298828,842.2126159667969,538.7716,390.9424285888672,696.6904754638672,154.22128,143.2915382385254,177.51079940795898,246.90295,225.65414810180664,290.6982955932617,370.08887,335.4083023071289,539.1148681640625,366.20145,325.1192321777344,569.3549194335938,425.8253,397.96094512939453,543.8960266113281,611.0727,557.2821502685547,801.0045928955078,225.38666,203.6813621520996,266.4293746948242,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.75,7.75,2.0,1.0,2.5,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,3.0,1.75,3.5,610.73334,579.2313690185547,906.5208129882812,912.578369140625,833.7391357421875,1015.2173461914062,252.90152,189.43140029907227,289.4527130126953,5.0,4.0,6.0,3.8695326,3.3955830931663513,4.223798036575317,3.087789,2.844953715801239,3.297674238681793,97.0,76.5,116.25,66.0,49.75,79.0,40.5,25.0,57.25,0.34564847,0.2582702860236168,0.42721886932849884,58.55997276306152,43.93490409851074,71.92296028137207,91.15975952148438,77.65734481811523,108.8795280456543,0.18341967,0.15766824781894684,0.2031838744878769,0.017335977,0.012019380228593946,0.025661172810941935,5.581249952316284,4.520833253860474,6.199013352394104,146.8742,133.98199272155762,154.16226959228516,0.51692843,0.5165646970272064,0.5447004288434982,775.805908203125,725.5288696289062,928.3559417724609,190.13624572753906,176.5004997253418,231.6355743408203,0.2150372788310051,0.1949784755706787,0.24858130887150764,2561.0226987029178,1864.3362309633562,3313.364248970623,0.4261554517926275,0.42086173197065363,0.44531189349645117,0.1326026318423343,0.12590282936393538,0.13654730131411313,0.6476093246592094,0.6367959688771694,0.6657635097160246,0.2265101423450943,0.19784111585049388,0.23245199552428986,0.47353175487008936,0.47118368530726196,0.4762975555727054,0.5264682451299108,0.5237024444272945,0.528816314692738
