City,Country,Nodes,% Full Access,Mean Completeness,Median Categories,% >= 6 Categories,% >= 9 Categories
Venezia,IT,5886,94.5,1.0,10.0,99.7,98.7
Bahía de Cádiz,ES,3633,93.5,1.0,10.0,99.8,98.4
Siracusa,IT,6445,92.9,1.0,10.0,98.7,96.2
Trapani,IT,5298,90.7,1.0,10.0,99.4,95.8
Amersfoort,NL,20514,90.1,1.0,10.0,99.7,96.6
Pesaro,IT,5728,89.2,1.0,10.0,99.5,94.5
Verona,IT,14908,88.6,1.0,10.0,99.6,94.8
Gouda,NL,9534,88.5,1.0,10.0,98.9,95.4
Firenze,IT,30628,88.5,1.0,10.0,99.4,94.6
Ancona,IT,7083,88.1,1.0,10.0,99.1,94.9
Roma,IT,3394,87.8,1.0,10.0,99.0,94.7
Casteddu/Cagliari,IT,18798,87.6,1.0,10.0,99.2,93.2
Reggio di Calabria,IT,6216,87.5,1.0,10.0,99.8,94.7
Modena,IT,12799,87.5,1.0,10.0,99.8,96.2
Brașov,RO,13126,87.2,1.0,10.0,99.3,94.2
Ragusa,IT,5072,86.9,1.0,10.0,99.6,95.9
Toledo,ES,4610,86.9,1.0,10.0,97.3,92.0
Roma,IT,120979,86.5,1.0,10.0,99.5,95.3
Taranto,IT,4972,86.3,1.0,10.0,97.7,89.8
Ασπρόχωμα,GR,5829,86.1,1.0,10.0,99.8,93.8
Bolzano - Bozen,IT,5188,86.1,1.0,10.0,98.6,92.3
Salerno,IT,6193,85.9,1.0,10.0,99.1,93.0
Zagreb,HR,48726,85.9,1.0,10.0,99.6,94.3
Grosseto,IT,5176,85.9,1.0,10.0,99.7,97.0
Bari,IT,12398,85.8,1.0,10.0,99.3,93.5
Küsnacht (ZH),CH,2538,85.7,1.0,10.0,100.0,94.6
Warszawa,PL,184758,85.5,1.0,10.0,99.7,96.0
Utrecht,NL,35021,85.3,1.0,10.0,99.8,97.5
Latina,IT,6312,85.3,1.0,10.0,99.6,93.6
Amsterdam,NL,94284,85.3,1.0,10.0,99.6,95.9
VVG der Gemeinde Gundelfingen,DE,22609,85.2,1.0,10.0,98.1,91.9
Strasbourg,FR,37642,85.2,1.0,10.0,99.4,95.0
Bologna,IT,28136,85.1,1.0,10.0,99.3,93.9
Cosenza,IT,7130,85.0,1.0,10.0,98.8,91.8
Schwabing-Freimann,DE,140984,85.0,1.0,10.0,99.5,94.8
Baciu,RO,18239,84.9,1.0,10.0,98.9,93.5
Rimini,IT,11700,84.9,1.0,10.0,99.7,94.6
Rotterdam,NL,81707,84.7,1.0,10.0,99.7,95.4
Reggio Emilia,IT,12149,84.7,1.0,10.0,98.8,93.3
Arezzo,IT,5653,84.6,1.0,10.0,98.6,91.9
Zwolle,NL,19701,84.6,1.0,10.0,99.7,95.0
Costa del Sol Occidental,ES,6242,84.6,1.0,10.0,99.6,93.7
Mérida,ES,5386,84.4,1.0,10.0,99.3,94.4
Lecce,IT,8363,84.3,1.0,10.0,99.2,92.8
Matera,IT,4269,84.2,1.0,10.0,98.4,94.7
