city_label,country,pct_active_life_15min,pct_arts_and_entertainment_15min,pct_attractions_and_activities_15min,pct_business_and_services_15min,pct_eat_and_drink_15min,pct_education_15min,pct_health_and_medical_15min,pct_public_services_15min,pct_religious_15min,pct_retail_15min
Venezia,IT,98.9,98.3,99.9,100.0,100.0,99.6,96.7,100.0,98.3,100.0
Baciu,RO,98.5,94.9,98.1,100.0,98.8,96.1,98.1,95.8,95.4,99.6
Modena,IT,99.0,97.3,95.0,100.0,99.7,98.2,98.7,99.4,95.1,100.0
Brașov,RO,98.9,94.8,97.7,100.0,98.6,99.2,98.9,96.2,90.7,99.6
Велико Търново,BG,98.1,93.9,97.8,99.5,98.3,96.5,98.9,97.3,90.8,99.0
Zamora,ES,96.9,94.0,92.1,99.8,99.4,98.7,93.4,98.8,96.5,99.6
Zagreb,HR,98.4,94.6,96.7,100.0,99.6,98.5,97.5,98.9,91.9,99.9
Roma,IT,98.2,95.4,95.8,100.0,99.7,98.3,98.1,97.9,92.8,99.8
Bolzano - Bozen,IT,97.9,93.7,95.9,99.5,99.7,96.6,97.4,98.3,88.9,99.0
Verona,IT,97.3,93.6,94.4,99.7,99.3,95.3,96.2,96.6,93.3,99.5
Firenze,IT,96.4,94.9,96.4,99.7,98.7,96.4,95.2,98.0,95.7,98.7
Pesaro,IT,99.1,98.9,93.7,100.0,100.0,97.8,97.8,99.7,94.1,99.9
Warszawa,PL,98.7,94.1,97.6,100.0,99.2,99.6,99.0,99.1,90.7,99.9
Bologna,IT,98.0,95.9,97.0,99.9,99.5,97.1,97.4,97.7,91.3,99.6
Trnava,SK,99.9,98.5,95.9,100.0,99.9,99.6,98.4,99.0,85.8,100.0
Osijek,HR,99.5,93.8,95.1,100.0,99.9,97.8,97.9,99.4,87.9,99.7
Livorno,IT,99.5,96.5,95.7,99.9,99.6,97.0,98.9,99.0,91.8,99.9
Sibiu,RO,97.9,96.7,95.8,100.0,96.1,97.1,98.7,96.4,91.8,99.9
Ancona,IT,97.5,93.5,96.4,99.9,98.9,97.7,96.7,98.2,94.8,99.9
Pescara,IT,98.0,94.2,95.9,99.8,98.6,96.0,97.5,98.7,89.5,99.5
Sântuhalm,RO,97.7,94.3,90.3,100.0,98.6,90.2,99.6,98.5,90.4,97.2
Piacenza,IT,99.5,96.1,93.2,100.0,99.9,98.3,97.3,99.0,95.3,99.9
Valea Voievozilor,RO,97.5,90.4,95.9,100.0,99.2,97.4,97.9,97.3,93.3,100.0
Bari,IT,97.1,93.5,94.4,99.8,98.6,96.4,96.3,98.1,91.4,99.7
Ajaccio,FR,99.9,96.7,98.0,100.0,100.0,99.7,95.1,99.4,86.6,100.0
Бургас,BG,97.9,98.6,99.2,100.0,98.9,99.3,99.1,98.1,82.1,99.7
Rzeszów,PL,98.8,95.5,92.8,100.0,99.1,99.7,99.7,98.5,91.3,99.9
Pécs,HU,97.6,93.3,98.0,100.0,98.7,97.8,98.5,98.0,92.9,99.1
