City,Country,Dominant Cluster,Dominant %
Västerås,SE,0,33.629999999999995
Sjöberg,SE,2,33.75648494333826
Fonte Nuova,IT,2,33.975111528527826
Zamora,ES,0,34.053801897061106
Białystok,PL,2,34.589999999999996
Majadahonda,ES,0,34.660000000000004
Oviedo,ES,0,34.79
Genova,IT,2,34.849999999999994
,,3,34.94
Kaunas,LT,2,35.14
Piacenza,IT,2,35.193945127719964
Ferrara,IT,2,35.25
Vallès Occidental,ES,0,35.61
Bratislava,SK,0,35.85
Hällen,SE,0,35.91
Sector 1,RO,3,36.019242333132894
Leuven,BE,2,36.14
София,BG,3,36.43327424664472
Mitte,DE,2,36.44049918047419
Grenoble,FR,2,36.55
