City,Country,Dominant Cluster,Dominant %
Ostrów Wielkopolski,PL,3,90.85826690133554
Zadar,HR,0,90.4119944563437
,,0,86.32562715199214
Érd,HU,0,85.10279743849006
Pescara,IT,0,82.04
Brackel,DE,3,81.06200122774709
Ludwigsburg,DE,3,80.94
Venezia,IT,2,79.93235625704622
Piotrków Trybunalski,PL,3,79.83734685255598
Focșani,RO,3,79.0625
Uttenreuth (VGem),DE,3,76.63
Forlì,IT,0,75.33999999999999
Lelystad,NL,3,74.94
Barletta,IT,2,74.83315392895587
Iruñerria / Comarca de Pamplona,ES,2,74.35000000000001
Bocholt,DE,3,73.68
Göttingen,DE,3,73.61
Logroño,ES,2,73.58412992085518
Nyíregyháza,HU,3,73.12257348863007
Klagenfurt,AT,3,73.11
