Country,Number of Cities,Nodes Sampled,Avg Population Density,Avg Coverage Ratio,% Cluster 1,% Cluster 2,% Cluster 3,% Cluster 4,% Cluster 5,% Cluster 6,% Cluster 7,% Cluster 8
DK,4,1978,inf,0.21221553,12.588473205257836,2.1233569261880687,5.25783619817998,2.7805864509605662,3.286147623862487,1.820020222446916,69.26188068756319,2.8816986855409503
SE,15,5282,3372.3821488283297,0.17417327,11.245740249905339,2.347595607724347,8.48163574403635,4.051495645588792,6.777735706171904,5.1117001135933355,58.86028019689512,3.1238167360848164
FI,4,2520,2965.1567510061004,0.15763514,11.031746031746032,1.507936507936508,13.134920634920636,2.142857142857143,4.404761904761905,0.5555555555555556,63.84920634920634,3.373015873015873
EE,3,870,4756.005021467048,0.16696155,9.425287356321839,1.839080459770115,18.39080459770115,5.057471264367816,8.275862068965518,1.9540229885057472,48.96551724137931,6.091954022988506
LT,4,1202,4727.13755245586,0.17136873,8.901830282861898,1.5806988352745424,24.37603993344426,5.906821963394343,7.820299500831947,0.6655574043261231,49.001663893510816,1.747088186356073
ES,86,24426,8125.3845887371535,0.33217478,8.065176451322362,23.900761483664947,11.46728895439286,11.954474740031113,4.683533939245066,7.885040530582168,26.234340456890198,5.809383443871285
MT,1,254,5602.412737689519,0.30635983,7.874015748031496,11.023622047244094,6.299212598425196,16.535433070866144,2.7559055118110236,2.3622047244094486,37.00787401574803,16.141732283464567
FR,72,26546,inf,0.22578016,6.32110299103443,9.986438634822573,5.224892639192345,12.566865064416485,1.386272884803737,39.97965795223386,23.690951555789947,0.8438182777066224
NO,3,1383,3452.478562003584,0.21766834,6.073752711496746,5.278380332610268,4.121475054229935,6.941431670281996,1.8799710773680405,16.847433116413594,57.26681127982647,1.5907447577729574
IT,83,23694,238573.15831702296,0.27758855,5.946653161137841,10.86350974930362,11.808896767114037,9.420106356039504,3.1949016628682365,4.946399932472357,42.22587996961256,11.593652401451845
PL,50,17956,4710.420873685972,0.16515215,5.45221652929383,4.973267988416128,13.282468255736243,15.409890844286034,2.405881042548452,12.319002004900868,43.968589886388955,2.188683448429494
PT,10,4154,3928.2290528235812,0.2451182,4.766490129995185,15.142031776600867,6.234954260953298,16.53827636013481,2.407318247472316,13.601348098218585,37.217140105922006,4.092441020702937
BG,13,3475,6209.38225919929,0.22544457,4.690647482014389,5.985611510791367,16.258992805755394,6.359712230215828,3.942446043165468,4.316546762589928,49.381294964028775,9.06474820143885
HU,12,3845,3644.9368088602114,0.20132314,4.421326397919375,4.187256176853056,7.802340702210664,9.77893368010403,4.005201560468141,5.929778933680105,61.378413524057216,2.4967490247074124
HR,5,1473,4810.935453879201,0.21448994,4.412763068567549,3.73387644263408,10.31907671418873,8.825526137135098,4.141208418194162,4.820095044127631,58.85947046843177,4.887983706720977
RO,30,6760,inf,0.23427118,4.378698224852071,3.8757396449704142,11.18343195266272,7.366863905325443,2.396449704142012,7.144970414201183,59.27514792899409,4.378698224852071
LV,3,1099,4128.144797898573,0.18960173,4.276615104640583,2.820746132848044,16.92447679708826,5.823475887170155,10.464058234758872,5.550500454959054,49.13557779799818,5.004549590536852
AT,6,2499,4700.056169557039,0.2457676,3.961584633853541,14.245698279311725,10.644257703081232,15.286114445778312,1.680672268907563,10.444177671068427,40.53621448579432,3.201280512204882
SI,2,580,3803.076792952883,0.21740639,3.793103448275862,5.517241379310345,8.448275862068966,7.758620689655173,2.0689655172413794,5.0,62.241379310344826,5.172413793103448
CZ,14,4931,3956.3104092763087,0.17336056,3.7112147637396067,10.099371324274994,12.02595822348408,20.56378016629487,2.1496653822754004,15.777732711417563,33.36037314946259,2.3119042790509026
CH,12,3442,4671.354747537356,0.24264774,3.2248692620569437,12.085996513654852,8.803021499128413,17.576990122022078,1.8303312027890761,8.076699593259733,42.010459035444505,6.391632771644392
DE,103,36647,3533.121079770162,0.21514912,3.148961715829399,8.87385051982427,5.19005648484187,21.183180069309905,1.8391682811689907,25.663765110377383,32.60294157775534,1.4980762408928425
SK,6,1568,4517.903816445599,0.18589365,3.061224489795918,7.780612244897959,16.45408163265306,20.727040816326532,3.6989795918367347,15.625,30.994897959183675,1.6581632653061225
NL,43,12080,inf,0.24748586,2.922185430463576,8.468543046357615,1.1341059602649006,8.9817880794702,1.870860927152318,59.87582781456954,16.456953642384107,0.2897350993377483
IE,5,1976,3481.729950658793,0.18716961,2.7327935222672064,4.65587044534413,1.1133603238866396,9.868421052631579,2.1255060728744937,55.11133603238867,23.734817813765183,0.6578947368421052
BE,13,3662,3542.5139769278403,0.26027736,2.5669033315128345,19.825232113599125,2.075368651010377,13.653741125068269,1.5565264882577825,39.02239213544511,20.780993992353906,0.5188421627525942
CY,2,565,3145.831121512286,0.24938354,1.238938053097345,1.7699115044247788,3.7168141592920354,4.424778761061947,1.238938053097345,6.902654867256637,73.45132743362832,7.256637168141593
LU,1,238,4061.6541857994002,0.24201195,0.8403361344537815,18.067226890756302,5.46218487394958,31.512605042016805,5.46218487394958,15.546218487394958,19.747899159663866,3.361344537815126
GR,8,3857,7551.5548497386735,0.33556235,0.8296603577910292,37.12730101114856,1.711174487943998,6.896551724137931,0.49261083743842365,7.596577651024113,32.5641690432979,12.781954887218044
