country,business_and_services_count_sum,business_and_services_count_mean,active_life_count_sum,active_life_count_mean,arts_and_entertainment_count_sum,arts_and_entertainment_count_mean,public_services_count_sum,public_services_count_mean,retail_count_sum,retail_count_mean,health_and_medical_count_sum,health_and_medical_count_mean,eat_and_drink_count_sum,eat_and_drink_count_mean,education_count_sum,education_count_mean,attractions_and_activities_count_sum,attractions_and_activities_count_mean,religious_count_sum,religious_count_mean,accommodation_count_sum,accommodation_count_mean
AT,43299.0,5412.4,4539.0,567.4,2768.0,346.0,5319.0,664.9,23689.0,2961.1,8931.0,1116.4,15032.0,1879.0,4539.0,567.4,3981.0,497.6,1497.0,187.1,2309.0,288.6
BE,56114.0,3507.1,6613.0,413.3,3938.0,246.1,10279.0,642.4,34301.0,2143.8,9437.0,589.8,22927.0,1432.9,7058.0,441.1,5564.0,347.8,1784.0,111.5,2933.0,183.3
BG,35047.0,2695.9,3219.0,247.6,2282.0,175.5,2869.0,220.7,19474.0,1498.0,4316.0,332.0,10683.0,821.8,4027.0,309.8,2617.0,201.3,503.0,38.7,1813.0,139.5
CH,72884.0,3644.2,7490.0,374.5,3487.0,174.4,8167.0,408.4,30253.0,1512.6,16929.0,846.4,17936.0,896.8,7585.0,379.2,4719.0,236.0,1710.0,85.5,2209.0,110.4
CY,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
CZ,49920.0,3120.0,5812.0,363.2,3185.0,199.1,5031.0,314.4,27155.0,1697.2,6611.0,413.2,17299.0,1081.2,6999.0,437.4,4501.0,281.3,1076.0,67.2,2933.0,183.3
DE,523535.0,4759.4,44302.0,402.7,25934.0,235.8,51744.0,470.4,224392.0,2039.9,100668.0,915.2,115540.0,1050.4,52886.0,480.8,25705.0,233.7,15079.0,137.1,16110.0,146.5
DK,28634.0,7158.5,4095.0,1023.8,1912.0,478.0,4133.0,1033.2,15332.0,3833.0,5735.0,1433.8,9284.0,2321.0,3296.0,824.0,3116.0,779.0,863.0,215.8,1391.0,347.8
EE,10695.0,3565.0,1004.0,334.7,654.0,218.0,1183.0,394.3,4933.0,1644.3,1014.0,338.0,2292.0,764.0,1260.0,420.0,1100.0,366.7,211.0,70.3,537.0,179.0
ES,78013.0,2228.9,7608.0,217.4,4313.0,123.2,7881.0,225.2,52054.0,1487.3,14293.0,408.4,34164.0,976.1,10752.0,307.2,5181.0,148.0,2278.0,65.1,3623.0,103.5
FI,24961.0,6240.2,3303.0,825.8,1482.0,370.5,3763.0,940.8,10106.0,2526.5,3418.0,854.5,7665.0,1916.2,2350.0,587.5,3590.0,897.5,708.0,177.0,871.0,217.8
FR,313225.0,4121.4,32353.0,425.7,16898.0,222.3,44395.0,584.1,176463.0,2321.9,45136.0,593.9,108998.0,1434.2,36581.0,481.3,22602.0,297.4,8007.0,105.4,18243.0,240.0
GR,1257.0,628.5,188.0,94.0,104.0,52.0,149.0,74.5,1237.0,618.5,308.0,154.0,684.0,342.0,293.0,146.5,83.0,41.5,69.0,34.5,65.0,32.5
HR,14375.0,2875.0,2054.0,410.8,1039.0,207.8,2242.0,448.4,8066.0,1613.2,2249.0,449.8,5736.0,1147.2,2152.0,430.4,1695.0,339.0,454.0,90.8,2325.0,465.0
HU,50819.0,3629.9,6020.0,430.0,2620.0,187.1,5158.0,368.4,30053.0,2146.6,7515.0,536.8,11694.0,835.3,6604.0,471.7,3962.0,283.0,1241.0,88.6,2614.0,186.7
IE,19704.0,3940.8,3207.0,641.4,1554.0,310.8,2674.0,534.8,10919.0,2183.8,3576.0,715.2,7862.0,1572.4,2972.0,594.4,1910.0,382.0,1017.0,203.4,1409.0,281.8
IT,199085.0,3828.6,19995.0,384.5,9456.0,181.8,27295.0,524.9,124979.0,2403.4,32651.0,627.9,68811.0,1323.3,18259.0,351.1,15364.0,295.5,6875.0,132.2,16121.0,310.0
