,r2,coef_population,coef_area,intercept,n_cities,mean_residual,std_residual
business_and_services,0.9481718921657392,0.0068008761594216165,27.76890981382751,-293.9135723173754,568.0,-3.090360518348154e-13,1627.543513893321
active_life,0.9366138669004658,0.0005594123802932757,2.9138561308963284,-11.680654143283618,568.0,-2.942247384696753e-14,169.00747553450785
arts_and_entertainment,0.9483306407426598,0.00045839540949710214,1.1304262240493985,-12.948801314249323,568.0,-1.0007644165635213e-14,88.45444978186143
public_services,0.9525890932976553,0.0013178804659059555,1.3328007795731995,10.90791857598441,568.0,2.2417122931022878e-14,191.48646308024237
retail,0.9606504171397658,0.005273515372062368,6.492869934939688,99.0123875195261,568.0,2.241712293102288e-13,723.2536983593031
health_and_medical,0.8886811710238649,0.00037830444662375636,7.004076353098113,-70.22909161875884,568.0,-1.633247527831667e-13,375.139587799081
eat_and_drink,0.95990135809785,0.00458510725733993,-0.9840928688648293,51.17969277704481,568.0,3.522690746303595e-13,474.2523698054831
education,0.9390915148887693,0.0010297575877195003,1.8858080403361366,17.001866346944325,568.0,2.1616511397772062e-14,196.65886860329283
attractions_and_activities,0.9027152912074013,0.0008992324274039339,0.5609233905306084,0.0505222287067113,568.0,1.8414065264768794e-14,178.607436028744
religious,0.9555362766143417,0.00017359851001803308,0.8220619681257082,-9.065519328972798,568.0,3.602751899628677e-15,41.31836064008875
accommodation,0.8035679823086477,0.0006986490923536222,-0.24156080411572192,35.27072818183714,568.0,-6.404892266006537e-15,169.5244030984819
