bounds_fid,label,country,population,area_km2,confidence_score,n_flagged_categories,mean_zscore,flagged_categories
0,,,97244.39557125514,62.77261193348189,1.0,0,-0.15246069200133566,
468,Alessandria,IT,65425.6423193659,28.4536046628926,1.0,0,0.1416824927289482,
460,Добрич,BG,72154.63849925916,30.633215806133823,1.0,0,-0.37229178683850533,
461,Ferrol,ES,92683.24435091118,42.539964539796635,1.0,0,-0.17325760854003278,
462,Русе,BG,119719.79387655639,41.67623747452991,1.0,0,-0.24586444215728231,
463,Valence,FR,94635.03387745561,50.86469990528366,1.0,0,-0.020880219416425917,
464,Piacenza,IT,94079.91038017011,38.992438092616325,1.0,0,0.20821405926112949,
465,Torino,IT,1161395.189234211,270.20017394820223,1.0,0,1.6961747712896285,
466,A Coruña,ES,298793.2970139964,78.89432532664146,1.0,0,0.13232845286006348,
467,Asti,IT,60503.99859803181,26.76964701092235,1.0,0,0.14443313868381139,
469,Ferrara,IT,99971.72989002128,60.40337506495223,1.0,0,0.2947631364403556,
458,Pavia,IT,66257.35433240885,36.76964701092269,1.0,0,0.3186020435827695,
470,Parma,IT,157498.3453034081,55.95779290156499,1.0,0,0.5121429753348026,
471,Carpi,IT,60323.53346926975,35.63321580613382,1.0,0,-0.0878412374252345,
472,Avilés,ES,90389.10976699898,34.31717345810303,1.0,0,-0.1749197822585247,
473,Варна,BG,271373.3465893108,67.90724676351209,1.0,0,-0.05153154995765751,
474,Gijón / Xixón,ES,252852.40684187596,46.225085486300024,1.0,0,0.15517875850575197,
475,Reggio Emilia,IT,123556.77352828273,54.00097284001738,1.0,0,0.21920234489334955,
476,Шумен,BG,62787.06419501153,35.59003586768144,1.0,0,-0.29576403593464284,
477,Modena,IT,160853.91642412203,56.00081456996109,1.0,0,0.45270885664277233,
459,Cremona,IT,63416.05049233449,30.769647010922707,1.0,0,0.1737345777944048,
457,Mofleni,RO,230768.84088635255,67.32702977009453,1.0,0,-0.6254746178840448,
433,Lyon,FR,57850.504240768845,33.81282694937464,1.0,0,-0.33256892873429317,
444,Brescia,IT,241357.9854604026,123.82268851463284,1.0,0,0.23262890448496296,
435,Treviso,IT,85582.54681335004,41.957792901564986,1.0,0,0.2828409264192863,
436,Bergamo,IT,353630.8983936737,192.79751204052312,1.0,0,-0.37247910698406916,
437,Gallarate,IT,130471.62713482193,79.54834101714209,1.0,0,-0.485957127802895,
438,Chambéry,FR,102812.32249188132,56.294408418546276,1.0,0,-0.18373317598677588,
439,Călărași,RO,57633.45379367115,31.453446392836312,1.0,0,-0.3730821692372712,
441,Saint-Étienne,FR,196196.5712515514,74.907879843736,1.0,0,-0.24589481652255413,
442,Busto Arsizio,IT,312493.16642937483,154.74045423177418,1.0,0,-0.8747924569697592,
443,Vicenza,IT,100820.85003294451,52.58266966808092,1.0,0,0.2727861528347095,
445,Venezia,IT,180900.9599619639,69.0210711988009,1.0,0,-0.004091202034713995,
456,Grenoble,FR,348749.5208240809,109.05416736051536,1.0,0,-0.14908260799530912,
446,Novara,IT,94759.00708225986,43.0441527784697,1.0,0,0.022813430850128137,
447,Verona,IT,202774.88700158492,71.46198114023737,1.0,0,1.1390151080853956,
448,Rijeka,HR,116764.5955033477,60.90708849345578,1.0,0,-0.0862984923347757,
449,Venezia,IT,66715.97232341311,58.20848630416365,1.0,0,1.9001874770730318,
450,Slatina,RO,62526.311490330256,25.8126686793188,1.0,0,-0.21904387721450488,
451,Magheru,RO,72947.61348551254,27.949258154163946,1.0,0,-0.30176432511113666,
452,Padova,IT,261786.14978565904,119.78230997541665,1.0,0,0.7302232224009034,
454,Vigevano,IT,60432.00909239487,35.13724577474994,1.0,0,-0.13701833084521772,
478,Oviedo,ES,210156.7379195072,47.13756231486171,1.0,0,0.2783175859173014,
479,Santiago,ES,82694.37894128205,33.2308135811984,1.0,0,0.616823114602428,
480,Lugo,ES,89446.07300107184,25.94925815416367,1.0,0,0.13472184210652652,
513,Pisa,IT,130420.73920027916,86.49747833897658,1.0,0,0.406479858396456,
505,Ourense,ES,110291.95715452249,36.812826949374674,1.0,0,0.07363221822379586,
506,Prato,IT,209792.89667690682,91.63422608387815,1.0,0,-0.13268752576317616,
507,Pau,FR,119986.48629627487,54.45360466289206,1.0,0,-0.040880480921122654,
508,León,ES,164497.02191315746,53.267102130218596,1.0,0,0.052638297383912964,
