bounds_fid,total_grids,accommodation_z_mean,accommodation_z_median,accommodation_z_std,accommodation_z_min,accommodation_z_max,active_life_z_mean,active_life_z_median,active_life_z_std,active_life_z_min,active_life_z_max,arts_and_entertainment_z_mean,arts_and_entertainment_z_median,arts_and_entertainment_z_std,arts_and_entertainment_z_min,arts_and_entertainment_z_max,attractions_and_activities_z_mean,attractions_and_activities_z_median,attractions_and_activities_z_std,attractions_and_activities_z_min,attractions_and_activities_z_max,business_and_services_z_mean,business_and_services_z_median,business_and_services_z_std,business_and_services_z_min,business_and_services_z_max,eat_and_drink_z_mean,eat_and_drink_z_median,eat_and_drink_z_std,eat_and_drink_z_min,eat_and_drink_z_max,education_z_mean,education_z_median,education_z_std,education_z_min,education_z_max,health_and_medical_z_mean,health_and_medical_z_median,health_and_medical_z_std,health_and_medical_z_min,health_and_medical_z_max,public_services_z_mean,public_services_z_median,public_services_z_std,public_services_z_min,public_services_z_max,religious_z_mean,religious_z_median,religious_z_std,religious_z_min,religious_z_max,retail_z_mean,retail_z_median,retail_z_std,retail_z_min,retail_z_max,avg_z_mean,label,country
605,15,-0.6235862648136888,-0.74624334414112,0.367960659167369,-0.9059248550308574,-0.09593351594165808,-1.3163214348367307,-1.5551992286943723,0.6293692063838726,-1.9588809043083832,-0.16633222439829434,-0.5151950210448689,-0.513774727594832,0.7861147703427089,-1.6749533660013787,0.8538640088333712,-0.8479630273705446,-0.938297081908679,0.3170860104665517,-1.1400160132385857,-0.12147530493267608,-1.3232767578943432,-1.4653250815836116,0.836458148753065,-3.3209865710168445,-0.08866821782621051,-0.968553387122381,-0.9867058612969061,0.6460394785713126,-2.612510702976975,-0.14589546940911466,-1.4562003460006663,-1.5351589930329357,0.8110262908713425,-2.668232826455504,-0.10054401142177377,-1.3150054644315747,-1.3008615983050689,0.8216240599196564,-2.8351321097182245,-0.05662572159429633,-1.2702683273403899,-1.3278258141593773,0.3423419010663526,-1.7855782677098266,-0.7693516094786725,-0.580161412576935,-0.4144345440523862,0.7830158028175663,-1.9162971598849803,0.5781192480597006,-1.251774824616537,-1.0293387421318327,0.9621049440328096,-3.4429814365201126,-0.1808408389154191,-1.0425732970953328,Parla,ES
564,25,-0.6293818726712346,-0.6950628724727606,0.28121821421177,-1.0486419079659286,-0.08592336777546694,-1.0022471280862097,-0.9701032895494683,1.0647415059102314,-3.141705531862074,1.6465601519451896,-0.594644415061646,-0.6732979565776617,0.8038897115373858,-1.3233456961814556,2.1288014077290827,-0.6665532987989657,-0.8388300378053645,0.6068641145994391,-1.3583358634175706,1.1642844141869082,-0.919548946365767,-0.9064430742478408,1.0988282519666617,-3.129711918346627,2.405365411830215,-0.6745642141967392,-0.7156626813435243,0.9130117524673894,-3.1117978431987914,1.9771025382150822,-0.9477900565029549,-1.16168063937622,1.1511150879908378,-2.2069905941962618,2.7657332252172497,-1.0373123545732175,-1.1877068210494484,1.5266603010997324,-3.0861642800485525,4.194618218469602,-0.9385877323711459,-1.100121031003909,0.8714975185882459,-2.0480788039941853,1.5473444479019167,-0.8493638823102714,-0.825662108755395,0.6918055712395801,-2.3651095259100874,0.5252087875103998,-0.7724097865804961,-1.0360437829110203,1.1872235951771253,-2.1976674862843466,3.64961263503596,-0.8211276079562407,Vallès Occidental,ES
602,22,-0.5003857432571065,-0.5707719552217376,0.3218932011025127,-0.8083414974361711,0.09956040146525202,-1.088746651784223,-0.9048070238172212,0.9087813163113473,-3.530251935644915,0.0232721630112645,-0.6855595457644483,-0.6020161471100393,0.7065123138285677,-2.5676985848023626,0.17452092151586698,-0.9282861094235806,-0.9806673688729795,0.5498249846166057,-1.871691697301588,-0.14328268198915245,-0.9000171496571131,-0.9193123805481767,1.0499156141214883,-3.1868711547803175,1.7337616311637696,-0.7995207713811703,-0.5295260740767668,0.6698726902978176,-1.9452683430869133,0.06770876594624249,-0.7852386172883495,-0.6293454423795569,0.517691775452263,-2.3641444524150064,-0.22085191011068087,-1.0372565522321247,-0.7630958254191901,0.7507838481453999,-2.7273138824084486,0.00827744994218889,-0.85643672515317,-0.8387421757075115,0.45778562341027784,-1.4376764523891334,-0.14419877467704356,-0.5023391373625796,-0.6358495753302202,0.6993191515985842,-1.4326645178769664,0.6597888262987801,-0.8668255806458206,-0.6722330652479066,0.9485548544468541,-2.7590597057987356,0.6164645037734376,-0.813692053086335,Fuenlabrada,ES
603,10,-0.9929676049255269,-0.9929676049255269,0.0007500165235676489,-0.9934979466953436,-0.9924372631557103,-0.813261216270976,-0.6896876788808056,0.521668951322231,-1.761450172236028,-0.17712734191541146,-0.5409841441967981,-0.46531862985517436,0.2410612616018295,-0.891566708312697,-0.3417326087641466,-0.7942944764105955,-0.8153927140655634,0.23973480859110524,-1.1063837248677502,-0.43170527183944374,-0.615543369887676,-0.5385039952837862,0.2913467638469736,-1.0382875619430236,-0.16074077407342482,-0.641149512902153,-0.5476110623492924,0.31506034977525316,-1.2719503887483399,-0.3252215026290708,-0.7661033958760045,-0.6657905004316932,0.4107135820366593,-1.5585158804733694,-0.36826310209494684,-0.6170659349197744,-0.5352963415009957,0.2941480335516578,-0.984475373242829,-0.30239290323719065,-0.7919435369044968,-0.8518004430778113,0.22686120088874526,-0.9861729449287717,-0.40467107641987893,-0.7468831315276293,-0.7468831315276293,0.02468742397445665,-0.764339776429995,-0.7294264866252637,-0.9440292015973439,-0.68521293004773,0.5395317486622511,-1.814537359394014,-0.3397038051016532,-0.751293229583543,Arganda del Rey,ES
594,18,-0.5134552369692323,-0.5208501557125579,0.17324219671427016,-0.796339400272746,-0.22474870924270482,-0.858896003669516,-0.7931477406971843,0.9030573955472725,-2.6073432569233383,0.48072988606165185,-0.45025777379927373,-0.42929937354345626,0.4208178965810186,-1.0767139099961758,0.3354352165763179,-0.48630751795201493,-0.6405832787737142,0.3725792874121685,-0.9865728673837336,0.23213814345899125,-0.6149374175996226,-0.6315981347958564,0.7084176052478981,-1.6708396860807573,0.6376220654939305,-0.4397114919876817,-0.5393203438533513,0.3618719743544538,-0.9768301046808187,0.2293763979025407,-0.9298886112415308,-0.8053457513120327,0.5608222951021161,-1.7501934401671917,-0.12199282733449408,-0.856171171687192,-0.974042869934749,0.5242168928729902,-1.4853659489082087,0.09862573658575406,-1.000199270232782,-1.2076211081700303,0.4894825166939398,-1.596523836012901,-0.14946231579279487,-0.6679280810726387,-0.6802022661399298,0.509206194690746,-1.695922478839618,0.13209490975943491,-0.7856172709995665,-0.7231325912412931,0.6328778496033957,-1.7898716651708917,0.34128519349322106,-0.6912154406555501,Torrejón de Ardoz,ES
606,13,-0.6475478807159055,-0.6502310885138546,0.05980982501215712,-0.7139319097289819,-0.5757974361069311,-0.49649488811658166,-0.6638208542530972,0.4886123385299713,-1.0874504186136797,0.2461128363574084,-0.5589006998691101,-0.6358437856436723,0.38005225679692295,-1.1061985789215556,-0.04931231048070295,-0.590783266865224,-0.6261848316035831,0.23590889240078544,-0.9358504277545262,-0.1900709588741473,-0.7526842050578463,-0.8223461351953043,0.6582742945535618,-1.4912756150441302,0.5831890186695206,-0.5036112114071613,-0.42647179331184115,0.44840388536401143,-1.308906943285014,0.09506712344364703,-0.4561511376589742,-0.26447319284042903,0.5180806534201612,-1.4771661363987139,0.17594799520291035,-0.45716006014183463,-0.3832836092209987,0.3912945716600458,-1.1082457699595547,-0.04503632365648779,-0.851112669485293,-0.9189505755077484,0.4327627235840338,-1.3975255715316983,-0.1354289900016256,-0.7327530615347461,-0.8151115696370481,0.2545201949118664,-0.9133352214911186,-0.28808057307484847,-0.7095878478804983,-0.5990155802032884,0.5703789324611794,-1.5996082884202816,0.06510268462692342,-0.6142533571575614,Valdemoro,ES
395,33,-0.38012667370134845,-0.37047001387082845,0.41665272794782987,-1.510964043854047,0.15761170697235355,-0.9658495643148786,-0.941276222723336,0.5198947509020725,-1.82541149345663,0.01124307950851593,-0.328875669370986,-0.40064405798865815,0.5882488782015655,-1.1255419662742159,0.9387191726337628,-0.4513756444559238,-0.48335364057847563,0.4974394207941246,-0.9699350863750329,1.1608004101330953,-0.6187487508757766,-0.4777213137794447,0.5578619345897129,-2.227997211299905,0.1677716832123762,-0.5996639998433455,-0.3754316304108926,0.6466318461438398,-2.6810661187165907,0.5837160083596429,-0.6179295060146955,-0.824304381204811,0.5679935322908738,-1.783428821234806,0.6658179922737176,-0.6557133139039631,-0.5619860724091618,0.6676936984301634,-2.1676054376547467,0.6623990103396323,-0.6996087305600777,-0.7209355194978561,0.5957592340050264,-1.4766923497147295,0.5947895900135599,-0.5888148862522645,-0.6528396942042709,0.5051629764462173,-1.2951692411671323,0.7162858426141021,-0.5577422990892976,-0.41113150338882487,0.5368423434351509,-2.2947908332888955,0.12646438578766334,-0.5876771853075052,Brăila,RO
516,33,-0.41137504345409365,-0.3235057851271547,0.45340010397666947,-1.120563744153791,0.7485463937873049,-0.857722770798344,-0.7304018410820152,0.9283890047594218,-2.3899271986042243,1.6625188742123924,-0.5945980530076722,-0.71011403699034,0.7809140388262699,-1.9970964775060058,2.0208141363202614,-0.359588569993329,-0.6427188664756934,0.8700080515641752,-1.312508951583379,2.9720929733633925,-0.7142295681219833,-0.6888086383335155,0.828614400013957,-2.2304097367635407,1.7279749933444934,-0.37090159663201494,-0.28854706438214106,0.9542630713371638,-2.9894180524227814,3.0748147150742167,-0.7938099007914053,-0.8256522461338671,0.965718584350221,-2.6007842634894645,1.337250707575614,-0.7733220445999907,-0.788422863339109,1.102201960075392,-3.0479029969267017,3.010476307029507,-0.5867588871701037,-0.5439008364235676,0.7240055838194871,-2.0560098160167555,1.7323409010208537,-0.40039303615175065,-0.5581534264535184,1.2068758432259823,-1.7489125256966567,4.069458149874444,-0.5526597603760472,-0.640435945234228,1.3134092853671857,-3.316739928365443,4.5377626163302915,-0.5832144755542487,Gasteizko kuadrilla / Cuadrilla de Vitoria,ES
601,450,-0.4487364666735552,-0.5804969752369611,1.6971863515384165,-3.921492093688539,16.11277588950705,-0.7328216842446644,-0.7032888801707192,1.2762668962636843,-4.255146189813958,5.772526349520037,-0.42687087644984906,-0.6759802861898156,2.3998144008131956,-4.352069609638551,26.64163658117273,-0.826993995839179,-0.8631802870199091,1.1866502247567077,-5.039399700522797,8.411650536704514,-0.575595980821331,-0.5991586884979946,1.723667419537414,-5.8147928845759305,10.479658292944318,-0.4939874910292225,-0.6046107172046006,2.0269399591148427,-5.086136176633821,21.4647746540219,-0.4400190762049738,-0.5446065510752265,1.4961807345842038,-5.1361242549370845,6.689827654557793,-0.3802937726089086,-0.5037611528826665,1.6819875617857458,-3.305460766951279,12.635098130906657,-0.8524558562739722,-0.9739662336257792,1.3340037429314113,-5.202358564589882,5.818342965966779,-0.41079735319994937,-0.4508950967373211,1.08794088588986,-4.27996925166973,7.608337873799301,-0.6410006184317327,-0.612877645850079,1.608259820396437,-5.431387312207194,12.856129418557819,-0.5663248337979397,Madrid,ES
495,104,-0.5269975366962694,-0.4103328434602371,0.6154380876798757,-3.6304137374837997,0.5905989944756684,-0.6961274354481164,-0.6424851935841281,1.1287986997409163,-3.1673273712217496,3.5298523903482946,-0.6550334491721032,-0.6237470553314304,0.8772589566189724,-2.4512726080485105,2.3687131703814273,-0.47332647679314466,-0.37397052664757746,0.7435554738244661,-1.8912565023087324,3.1464001422922196,-0.6634058582796324,-0.49617790962341624,1.180477957284999,-3.524455263658847,4.2630612882309205,-0.304779220591828,-0.21615378380199246,1.216919859405299,-3.6750972425268724,7.106388204276277,-0.5273223663503035,-0.5449520193732168,1.268600006996175,-3.357191678615722,4.819926246733222,-0.5142210047495475,-0.5481145228612898,1.6395365931306423,-3.789889534525613,8.34148324511115,-0.5531893539114016,-0.5848858921535753,1.1046509679092258,-2.1992296913061082,5.91483807099658,-0.7373979315366729,-0.6885574535558485,0.47609451627521193,-1.6751934412971508,0.731000678504858,-0.4584811770336445,-0.4096063309845389,1.2763309834468533,-4.313860595803677,5.797296455673739,-0.5554801645966058,Bilbao,ES
